game	M1_v0.7.8a6	10yard	\N	\N	\N	\N	\N	10-Yard Fight (World) [sound only]	1983	Irem	\N	\N	Irem M62	
game_rom	M1_v0.7.8a6	dungeonm	d69-19.bin	\N	\N	131072	1484e853	4459c18ba005786483c652857e527c6093efb036	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dungeonm	d69-20.bin	\N	\N	524288	33650fe4	df8b775749b1f0f02d0df6141597cc49fb3ae227	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dungeonm	d69-13.bin	\N	\N	524288	dec2ec17	8472a5aaea9e4e4fb5f7f4b5eda356b590d1541d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dungeonm	d69-15.bin	\N	\N	524288	323e1955	d76582d1ff5a9aa87a498fea3280bc3c25ee9ec0	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dungeonm	d69-22.bin	\N	\N	524288	f99e175d	8f5f4710d72faed978e68e6e36703f47e8bab06f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dungeonm	d69-01.bin	\N	\N	2097152	9ac93ac2	1c44f6ba95505f85b0c8a90395f09d2a49da3553	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dungeonm	d69-02.bin	\N	\N	2097152	dce28dd7	eacfc98349b0608fc1a944c11f0483fb6caa4445	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dunkmnia	\N	\N	\N	\N	\N	Dunk Mania (DM2/VER.C) [sound only]	1995	Namco	\N	\N	Namco System 22	
game_rom	M1_v0.7.8a6	dunkmnia	dm1sprog.6d	\N	\N	262144	de1cbc78	855ebece1841f50ae324d7d6b8b18ab6f657d28e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dunkmnia	pr1data.8k	\N	\N	524288	2e5767a4	390bf05c90044d841fe2dd4a427177fa1570b9a6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dunkmnia	dm1wave.8k	\N	\N	4194304	4891d53e	a1fee060e94d3219174b5974517f4fd3be32aaa5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dunkshot	\N	\N	\N	\N	\N	Dunk Shot (FD1089 317-0022) [sound only]	1986	Sega	\N	\N	System 16 (sound type 3)	
game_rom	M1_v0.7.8a6	dunkshot	epr10473.a7	\N	\N	32768	7f1f5a27	7ff91b95c883b395ab4ff5e440d78e553a09e623	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dunkshot	epr10474.a8	\N	\N	32768	419a656e	aa734ae835761badeb069f99acc5fded2a19b3a3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dunkshot	epr10475.a9	\N	\N	32768	17d55e85	0c414bafecbfaa82679cc155f15f5255c186358d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dunkshot	epr10476.a10	\N	\N	32768	a6be0956	fc4d6e25e0b46679f94fddbb1850fb0b02f8d84b	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dyger	\N	\N	\N	\N	\N	Dyger (Korea set 1) [sound only]	1989	Philko	\N	\N	Side Arms	
game_rom	M1_v0.7.8a6	dyger	d-4.8a	\N	\N	32768	8a256c09	2c692af62da7c12b7d4f3f79264ee045a2cfa39f	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dynabb	\N	\N	\N	\N	\N	Dynamite Baseball '97 [sound only]	1996	Sega	\N	\N	Model 2A/2B/2C	
game_rom	M1_v0.7.8a6	dynabb	epr-19849.31	\N	\N	524288	b0d5bff0	1fb824adaf3ed330a8039be726a87eb85c00abd7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynabb	mpr-19880.32	\N	\N	2097152	e1fd27bf	a7189ad398138a91f96b192cb7c112c0301dcda4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynabb	mpr-19850.33	\N	\N	2097152	dc644077	8765bdb1d471dbeea065a97ae131f2d8f78aa13d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynabb	mpr-19851.34	\N	\N	2097152	cfda4efd	14d55f127da6673c538c2ef9be34a4e02ca449f3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynabb	mpr-19853.35	\N	\N	2097152	cfc64857	cf51fafb3d45bf799b9ccb407bee862e15c95981	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dynablst	\N	\N	\N	\N	\N	Dynablaster / Bomber Man [sound only]	1991	Irem (licensed from Hudson Soft)	\N	\N	Irem M72/M81/M83/M97/M99	
game_rom	M1_v0.7.8a6	dynablst	bbm-sp.23	\N	\N	65536	251090cd	9245072c1afbfa3e4a1d1549942765d58bd78ed3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynablst	bbm-v0.20	\N	\N	131072	0fa803fe	d2ac1e624de38bed385442ceae09a76f203fa084	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dynamcop	\N	\N	\N	\N	\N	Dynamite Cop (Model 2A) [sound only]	1996	Sega	\N	\N	Model 2A/2B/2C	
game_rom	M1_v0.7.8a6	dynamcop	epr-20811.30	\N	\N	524288	a154b83e	2640c6b6966f4a888329e583b6b713bd0e779b6b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynamcop	mpr-20812.31	\N	\N	2097152	695b6088	09682d18144e60d740a9d7a3e19db6f76fa581f1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynamcop	mpr-20813.32	\N	\N	2097152	1908679c	32913385f09da2e43af0c4a4612b955527bfe759	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynamcop	mpr-20814.36	\N	\N	2097152	e8ebc74c	731ce721bb9e148f3a9f7fbe569522567a681c4e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynamcop	mpr-20815.37	\N	\N	2097152	1b5aaae4	32b4bf6c096fdccdd5d8f1ddb6c27d3389a52234	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dynduke	\N	\N	\N	\N	\N	Dynamite Duke (Japan) [sound only]	1989	Seibu Kaihatsu	\N	\N	Raiden	
game_rom	M1_v0.7.8a6	dynduke	8.w8	\N	\N	65536	3c29480b	031a0b808df32b5ae4f722c9e9f69554d30505c1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynduke	7.x10	\N	\N	65536	9cbc7b41	107c19d3d71ee6af63d03f7278310c5e3786f91d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dynwar	\N	\N	\N	\N	\N	Dynasty Wars (World) [sound only]	1989	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	dynwar	tke17.12b	\N	\N	65536	b3b79d4f	2b960545741d3b9a53ffbf3ed83030392aa02698	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynwar	tke19.12c	\N	\N	131072	068741db	ab48aff639a7ac218b7d5304145e10e92d61fd9f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynwar	tke18.11c	\N	\N	131072	ac6e307d	b490ce625bb7ce0904b0fd121fbfbd5252790f7a	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	dynwarj	\N	\N	dynwar	dynwar	\N	Tenchi wo Kurau (Japan) [sound only]	1989	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	dynwarj	23.bin	\N	\N	65536	b3b79d4f	2b960545741d3b9a53ffbf3ed83030392aa02698	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynwarj	30.bin	\N	\N	131072	7e5f6cb4	c7b6b7d6dfe5f9f0e1521e7ce990229f480cf68d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	dynwarj	31.bin	\N	\N	131072	4a30c737	426eb90f2edf73eb468c94b4a094da3d46acbab2	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	earthjkr	\N	\N	\N	\N	\N	U.N. Defense Force: Earth Joker [sound only]	1993	Visco	\N	\N	Rastan	
game_rom	M1_v0.7.8a6	earthjkr	ej_2.rom	\N	\N	65536	42ba2566	c437388684b565c7504d6bad6accd73aa000faca	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	eatpm_l4	\N	\N	\N	\N	\N	Elvira and the Party Monsters (LA-4) (pinball) [sound only]	1989	Bally	\N	\N	Williams Y-Unit CVSD	
game_rom	M1_v0.7.8a6	eatpm_l4	elvi_u4.l1	\N	\N	32768	b5afa4db	59b72dac5301a4befa01b93da5162478682e6021	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eatpm_l4	elvi_u19.l1	\N	\N	32768	806bc350	d170aef11001096da9f2f7240726662009e26f5f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eatpm_l4	elvi_u20.l1	\N	\N	32768	3d92d5fd	834d40a59be57057103d1d8ab48fdaaf7dc5eda2	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eatpm_l4	elvi_u21.l1	\N	\N	32768	68d44545	8c3ea8521a44b1539cd148f142cca14184174ba7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eatpm_l4	elvi_u22.l1	\N	\N	32768	e525b4fe	be728ec33a00b93c3346428a9248b588460af945	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	eca	\N	\N	\N	\N	\N	Emergency Call Ambulance [sound only]	1999	Sega	\N	\N	Model 3	
game_rom	M1_v0.7.8a6	eca	epr22886.21	\N	\N	524288	374ec1c6	b06e678db191971f6701bd1f739815d00d4cfb3e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eca	mpr22887.22	\N	\N	4194304	7d04a867	053de98105880188b4daff183710d7932617547f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eca	mpr22889.24	\N	\N	4194304	4f9ba45d	d60314e852637edf6510be52b9b6576a1f3e1b7e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eca	mpr22888.23	\N	\N	4194304	018fcf22	c5133358f591d699f177617463e7dfa22edf5369	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eca	mpr22890.25	\N	\N	4194304	b638bd7c	ed9c69175fd0ca4c6f22e542b4e68398a6e4ad07	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ecofghtr	\N	\N	\N	\N	\N	Eco Fighters (World 931203) [sound only]	1993	Capcom	\N	\N	Capcom QSound (CPS version)	
game_rom	M1_v0.7.8a6	ecofghtr	uec.01	\N	\N	131072	c235bd15	feb7cd7db9dc0b9887b33eed9796bb0205fb719d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ecofghtr	uec.11m	\N	\N	2097152	81b25d39	448adfcc7d98873a48c710d857225cdd1580e5c9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ecofghtr	uec.12m	\N	\N	2097152	27729e52	a55c8159adf766dda70cb047f5ac85ce6bc0a3f3	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	edf	\N	\N	\N	\N	\N	E.D.F. : Earth Defense Force [sound only]	1991	Jaleco	\N	\N	Jaleco Mega System 1 (68k version)	
game_rom	M1_v0.7.8a6	edf	edf1.f5	\N	\N	131072	2290ea19	64c9394bd4d5569d68833d2e57abaf2f1af5be97	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	edf	edf2.f3	\N	\N	131072	ce93643e	686bf0ec104af8c97624a782e0d60afe170fd945	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	edf	edf_m02.rom	\N	\N	262144	fc4281d2	67ea324ff359a5d9e7538c08865b5eeebd16704b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	edf	edf_m01.rom	\N	\N	262144	9149286b	f6c66c5cd50b72c4d401a263c65a8d4ef8cf9221	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	edrandy	\N	\N	\N	\N	\N	The Cliffhanger - Edward Randy (World revision 2) [sound only]	1990	Data East Corporation	\N	\N	Crude Buster	
game_rom	M1_v0.7.8a6	edrandy	ge-09.k13	\N	\N	65536	9f94c60b	56edf63850189b2168c602e1f21492ef14662682	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	edrandy	ge-08.j13	\N	\N	131072	dfe28c7b	aba55834b276cbab194e03858564077cad21eff1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	edrandy	mad-13	\N	\N	524288	6ab28eba	12d3025478ee5af4bdea037656d9b1146cd9759f	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ehrgeiz	\N	\N	\N	\N	\N	Ehrgeiz (EG3/VER.A) [sound only]	1998	Square/Namco	\N	\N	Namco System 12	
game_rom	M1_v0.7.8a6	ehrgeiz	eg1vera.11s	\N	\N	524288	9e44645e	374eb4a4c09d6b5b7af5ff0efec16b4d2aacbe2b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ehrgeiz	eg1wave0.2	\N	\N	8388608	961fe69f	0189a061959a8d94b9d2db627911264faf9f28fd	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	eightman	\N	\N	\N	\N	\N	Eight Man [sound only]	1991	SNK / Pallas	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	eightman	025-m1.bin	\N	\N	131072	9927034c	205665361c5b2ab4f01ec480dd3c9b69db858d09	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eightman	025-v1.bin	\N	\N	1048576	4558558a	a4b277703ed67225c652be0d618daeca65a27b88	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eightman	025-v2.bin	\N	\N	1048576	c5e052e9	fa1119c90ce4c706a6aa0c17d7bc06aa3068d9b2	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	elevator	\N	\N	\N	\N	\N	Elevator Action [sound only]	1983	Taito Corporation	\N	\N	Taito SJ System	
game_rom	M1_v0.7.8a6	elevator	ea-ic70.bin	\N	\N	4096	6d5f57cb	abb916d675ee85032697d656121d4f525202cab3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elevator	ea-ic71.bin	\N	\N	4096	f0a769a1	9970fba3afeaaaa7fd217f0704fb9df9cf13cf65	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	elvactr	\N	\N	\N	\N	\N	Elevator Action Returns (Ver 2.2O 1995/02/20) [sound only]	1994	Taito Corporation Japan	\N	\N	F3/Super Z/JC Systems	
game_rom	M1_v0.7.8a6	elvactr	e02-13.32	\N	\N	262144	80932702	c468234d03aa31b2aa0c3bd6bec32034216c2ae4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-14.33	\N	\N	262144	706671a5	1ac90647d617e73f12a67274a025ae43a6b3a316	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-12.20	\N	\N	524288	ea5f5a32	4f30c56fbf068fee6d3afb2479043c7e89f6c055	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-11.19	\N	\N	524288	bcced8ff	09c38c78300ba9d710b4e46ca71014bbc5ac46b4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-10.18	\N	\N	524288	72f1b952	9fc41ecfbee3581d9e92ff3a2ab6e4b93567e31d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-16.17	\N	\N	524288	cd97182b	b3387980acfeec81eb0178d5b2955ac39595e22d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-04.38	\N	\N	2097152	b74307af	deb42415049efa2df70e7b25ba8b1b716aa227f1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	elvactr	e02-05.39	\N	\N	2097152	eb729855	85253efe794e8b5ffaf16bcb1123bca831e776a5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	emeralda	\N	\N	\N	\N	\N	Emeraldia [sound only]	1992	Namco	\N	\N	Namco NA-1/2	
game_rom	M1_v0.7.8a6	emeralda	em2-ep1l.7c	\N	\N	524288	6c3e5b53	72b941e28c7fda8cb81240a8226386fe55c14e2d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	emeralda	em2-ep1u.7f	\N	\N	524288	dee15a81	474a264029bd77e4205773a7461dea695e65933f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	emeralda	c69.bin	\N	\N	16384	349134d9	61a4981fc2716c228b6121fedcbf1ed6f34dc2de	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	endurob2	\N	\N	enduror	enduror	\N	Enduro Racer (bootleg set 2) [sound only]	1986	bootleg	\N	\N	Enduro Racer (bootleg 2)	
game_rom	M1_v0.7.8a6	endurob2	enduro.a16	\N	\N	32768	d2cb6eb5	80c5fab16ec4ddfa67fae94808026b2e6285b7f1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	endurob2	epr-7681.rom	epr-7681.rom	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	endurob2	epr-7680.rom	epr-7680.rom	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	endurobl	\N	\N	enduror	enduror	\N	Enduro Racer (bootleg set 1) [sound only]	1986	bootleg	\N	\N	Enduro Racer (ver. 2)	
game_rom	M1_v0.7.8a6	endurobl	epr-7765.ic73	\N	\N	16384	81c82fc9	99eae7edc62d719993c46a703f9daaf332e236e9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	endurobl	epr-7764.ic72	\N	\N	16384	755bfdad	2942f3da5a45a3ac7bba6a73142663fd975f4379	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	endurobl	epr-7762.ic5	\N	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	endurobl	epr-7763.ic6	\N	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	enduror	\N	\N	\N	\N	\N	Enduro Racer (YM2151, FD1089B 317-0013A) [sound only]	1986	Sega	\N	\N	Enduro Racer	
game_rom	M1_v0.7.8a6	enduror	epr-7682.rom	\N	\N	32768	c4efbf48	2bcbc4757d98f291fcaec467abc36158b3f59be3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	enduror	epr-7681.rom	\N	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	enduror	epr-7680.rom	\N	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	enforce	\N	\N	\N	\N	\N	Enforce (Japan) [sound only]	1988	Taito Corporation	\N	\N	Taito Z System	
game_rom	M1_v0.7.8a6	enforce	b58-32.41	\N	\N	65536	f3fd8eca	3b1ab64984ea43805b6494f8add26210ed1175c5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	enforce	b58-07.11	\N	\N	524288	eeb5ba08	fe40333e09339c76e503ce87b42a89b48d487016	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	enforce	b58-08.12	\N	\N	524288	049243cf	1f3099b6d764114dc4161ed308369d0f3148dc4e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	enforce	b58-10.14	\N	\N	524288	edce0cc1	1f6cbc60502b8b12b349e48446ce3a4a1f76bccd	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	eprom	\N	\N	\N	\N	\N	Escape from the Planet of the Robot Monsters (set 1) [sound only]	1989	Atari Games	\N	\N	JSA-1 (w/speech)	
game_rom	M1_v0.7.8a6	eprom	136069.7b	\N	\N	65536	86e93695	63ddab02df139dd41a8260c303798b2a550b9fe6	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	esb	\N	\N	\N	\N	\N	The Empire Strikes Back [sound only]	1985	Atari Games	\N	\N	Star Wars	
game_rom	M1_v0.7.8a6	esb	136031.113	\N	\N	16384	24ae3815	b1a93af76de79b902317eebbc50b400b1f8c1e3c	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	esb	136031.112	\N	\N	16384	ca72d341	52de5b82bb85d7c9caad2047e540d0748aa93ba5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	esckids	\N	\N	\N	\N	\N	Escape Kids (Asia, 4 Players) [sound only]	1991	Konami	\N	\N	Parodius	
game_rom	M1_v0.7.8a6	esckids	975f02	\N	\N	65536	994fb229	bf194ae91240225b8edb647b1a62cd83abfa215e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	esckids	975c03	\N	\N	524288	dc4a1707	f252d08483fd664f8fc03bf8f174efd452b4cdc5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	esha_la3	\N	\N	\N	\N	\N	Earthshaker (LA-3) (pinball) [sound only]	1988	Williams	\N	\N	Williams Y-Unit CVSD	
game_rom	M1_v0.7.8a6	esha_la3	eshk_u4.l1	\N	\N	32768	40069f8c	aafdc189259fa9c8dc49e60e978b84775e16c64e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	esha_la3	eshk_u19.l1	\N	\N	32768	e5593075	549b03402e5639b449e35325eb52e78f8810b07a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	esha_la3	eshk_u21.l1	\N	\N	32768	feac68e5	2f12a78398bc3a468e3e0656da91260d45b0663b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	esha_la3	eshk_u22.l1	\N	\N	32768	44f50fe1	a8e24dbb0f5cf300118e1ebdcd2bb6b274d87936	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	esprade	\N	\N	\N	\N	\N	ESP Ra.De. (International, Ver. 98/04/22) [sound only]	1998	Atlus/Cave	\N	\N	M1 HLE driver	
game_rom	M1_v0.7.8a6	esprade	u19.bin	\N	\N	4194304	f54b1cab	34d70bb5798de85d892c062001d9ac1d6604fd9f	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	eswat	\N	\N	\N	\N	\N	E-Swat - Cyber Police (set 3, World, FD1094 317-0130) [sound only]	1989	Sega	\N	\N	System 16 (sound type 3)	
game_rom	M1_v0.7.8a6	eswat	epr12617.a13	\N	\N	32768	7efecf23	2b87af7cfaab5942a3f7b38c987fcba01d3475ab	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	eswat	mpr12616.a11	\N	\N	262144	254347c2	bf2d83a69a5be375c7e42e9f7d6e65c1095a354c	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	eto	\N	\N	\N	\N	\N	Kokontouzai Eto Monogatari (Japan) [sound only]	1994	Visco	\N	\N	Rastan	
game_rom	M1_v0.7.8a6	eto	eto-5.27	\N	\N	65536	b3689da0	812d2e0a794403df9f0a5035784f14cd070ea080	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	exctleag	\N	\N	\N	\N	\N	Excite League (FD1094 317-0079) [sound only]	1989	Sega	\N	\N	System 16 (sound type 3)	
game_rom	M1_v0.7.8a6	exctleag	epr11945.a07	\N	\N	32768	c2a83012	b3de8af803497438aa3e110a9c608ac290f7d1e8	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exctleag	epr11140.a08	\N	\N	32768	b297371b	4e787aa9ee2aeab4da30237644421df407b684a5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exctleag	epr11141.a09	\N	\N	32768	19756aa6	81597e17b848f6a41f5fb117296e7508297815e4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exctleag	epr11142.a10	\N	\N	32768	25d26c66	2485afb859f84a9cc90b2091e9ae4eef263f42b3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exctleag	epr11143.a11	\N	\N	32768	848b7b77	8903a39f8f0ffb4ce32117d33282876196516c30	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	exedexes	\N	\N	\N	\N	\N	Exed Exes [sound only]	1985	Capcom	\N	\N	Capcom 1942	
game_rom	M1_v0.7.8a6	exedexes	11e_ee01.bin	\N	\N	16384	73cdf3b2	c9f2c91011bdeecec8fa76a42d95f3a5ec77cec9	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	exterm	\N	\N	\N	\N	\N	Exterminator [sound only]	1989	Gottlieb / Premier Technology	\N	\N	Gottlieb System 3	
game_rom	M1_v0.7.8a6	exterm	v101y1	\N	\N	32768	cbeaa837	87d8a258f059512dbf9bc0e7cfff728ef9e616f1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exterm	v101d1	\N	\N	32768	83268b7d	a9139e80e2382122e9919c0555937e120d4414cf	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	extrmatn	\N	\N	\N	\N	\N	Extermination (US) [sound only]	1987	[Taito] World Games	\N	\N	The New Zealand Story	
game_rom	M1_v0.7.8a6	extrmatn	b06-06.4e	\N	\N	65536	744f2c84	7565c1594c2a3bae1ae45afcbf93363fe2b12d58	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	exvania	\N	\N	\N	\N	\N	Exvania (Japan) [sound only]	1992	Namco	\N	\N	Namco NA-1/2	
game_rom	M1_v0.7.8a6	exvania	ex1-ep0l.bin	\N	\N	524288	18c12015	e4f3524e798545c434549719b377c8b5863f580f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exvania	ex1-ep0u.bin	\N	\N	524288	07d054d1	e2d2cb81acd309c519686572804648bef4cbd191	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	exvania	c69.bin	\N	\N	16384	349134d9	61a4981fc2716c228b6121fedcbf1ed6f34dc2de	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	exzisus	\N	\N	\N	\N	\N	Exzisus (Japan) [sound only]	1987	Taito Corporation	\N	\N	Exzisus	
game_rom	M1_v0.7.8a6	exzisus	b23-14.bin	\N	\N	32768	f7ca7df2	6048d9341f0303546e447a76439e1927d14cdd57	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	f14_l1	\N	\N	\N	\N	\N	F14 Tomcat (L-1) (pinball) [sound only]	1987	Williams	\N	\N	Williams Y-Unit CVSD	
game_rom	M1_v0.7.8a6	f14_l1	f14_u4.l1	\N	\N	32768	43ecaabf	64b50dbff03cd556130d0cff47b951fdf37d397d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	f14_l1	f14_u19.l1	\N	\N	32768	d0de4a7c	46ecd5786653add47751cc56b38d9db7c4622377	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	f14_l1	f14_u21.l1	\N	\N	32768	e412300c	382d0cfa47abea295f0c7501bc0a010473e9d73b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	f14_l1	f14_u22.l1	\N	\N	32768	c9dd7496	de3cb855d87033274cc912578b02d1593d2d69f9	\N	\N	\N	\N	\N	\N	
