game	JFF_v0.24	airbust	\N	\N	\N	\N	\N	Air Buster (aka Aero Blaster)	1990	Kaneko (Namco license)	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	12.5n	\N	\N	32768	0936b365	3705f42b76ab474357e77c1a9b8e3755c7ab2c0c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	2.3s	\N	\N	32768	a1e23bd2	c3b6574dc9fa66b4f41c37754a0d20a865f8bc28	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_03.rom	\N	\N	32768	ad275654	7d29a17132adb19aeee9b98be5b76bd6e91f308e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_04.rom	\N	\N	32768	e7692a77	84beb8b02c564bffa9cc00313214e8f109bd40f9	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_05.rom	\N	\N	32768	960725fb	160c8bfaf089cbeeef2023f12379793079bff93b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_06.rom	\N	\N	65536	7bfe6c9e	aef8cbeb0024939bf65f77113a5cf777f6613722	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_07.rom	\N	\N	65536	0be5cd13	8f94a8fef6668aaf13329715fee81302dbd6c685	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_08.rom	\N	\N	65536	1b79c50a	8954bc51cb9fbbe16b09381f35c84ccc56a803f3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_09.rom	\N	\N	65536	c1d2d170	0f325815086fde90fd85360d3660042b0b68ba96	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_10.rom	\N	\N	65536	c913c4ab	f822c5621b3e32c1a284f6367bdcace81c1c74b3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	nk2_11.rom	\N	\N	65536	41a714b3	b05f48d71a9837914c12c13e0b479c8a6dc8c25e	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	robokid	\N	\N	\N	\N	\N	Atomic Robo Kid	1989	UPL	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.12a	\N	\N	65536	e64d1c10	d1073c80c9788aba65410f88691747a37b2a9d4a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.12c	\N	\N	65536	0ab45f94	d8274263068d998c89a1b247dde7f814037cc15b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.14a	\N	\N	65536	8f9371e4	0ea06d62bf4673ebda49a849cead832a24e5b886	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.14c	\N	\N	65536	029bbd4a	8e078cdafe608fc6cde827be85c5267ade4ecca6	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.15a	\N	\N	65536	469204e7	8c2e94635b2b304e7dfa2e6ad58ba526dcf02453	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.15c	\N	\N	65536	7de67ebb	2fe92e50e2894dd363e69b053db96bdb66a273eb	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.15d	\N	\N	65536	cd632a4d	a537d9ced45fdac490097e9162ac4d09a470be79	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.15f	\N	\N	65536	ba61f5ab	8433ddd55f0184cd5e8bb4a94a1c2336b2f8ff05	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.16a	\N	\N	65536	4e340815	d204b830c5809f25f7dfa451bbcbeda8b81ced54	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.16c	\N	\N	65536	53c0e582	763e6127532d022a707bf9ddf1a832413745f248	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.16d	\N	\N	65536	18d92b2b	e6d20ea8f0fac8bd4824a3b279a0fd8a1d6c26f5	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.16f	\N	\N	65536	d9b399ce	70755c9cae27187f183ae6d61bedb95c420756f4	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.17a	\N	\N	65536	f0863106	ff7e44d0aa5a07ec9a7eddef1a55181bd2e867b1	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.17c	\N	\N	65536	0cae5a1e	a183a33516c81ea2c029b72ee6261c4519e095ab	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.17d	\N	\N	65536	2fa29b99	13dce7932e2e9c03a139a4293584838aa3d9f1c3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.17f	\N	\N	65536	afe432b9	1ec7954ccf112eddf0ffcb8b5aec6cbc5cba7a7a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.18a	\N	\N	65536	fdff7441	843b2c92bbc6f7319568677d50cbd9b03475b34a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.18c	\N	\N	65536	56ac7c8a	66ed5646a2e8563caeb4ff96fa7d34fde27e9899	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.18d	\N	\N	65536	ae15ce02	175e4eebdf12f1f373e01a4b1c933053ddd09abf	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.18f	\N	\N	65536	a0aa2a84	4d46c169429cd285644336c7d47e393b33bd8770	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.19c	\N	\N	65536	02220421	f533e9c6cea1dccbb60e0528c470f3cb5e8fc44e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.19d	\N	\N	65536	784b089e	1ae3346b4afa3da9484ebc59c8a530cb95f7d277	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.19f	\N	\N	65536	0f9071c6	8bf0c35189eda98a9bc150788890e136870cb5b2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.20c	\N	\N	65536	02d59bc2	031acbb14145f9f4623de8868c6207fb9f8e8207	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.20d	\N	\N	65536	b0b395ed	31ec07634053793a701bbfd601b029f7da66e9d7	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.b9	\N	\N	32768	fac59c3f	1b202ad5c12982512129d9e097267dd31b984ae8	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid.k7	\N	\N	65536	f490a2e9	861d1256c090ce3d1f45f95cc894affbbc3f1466	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid1.18j	\N	\N	65536	378c21fc	58163bd6fbfa8385b1bd648cfde3d75bf81ac07d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid2.18k	\N	\N	65536	ddef8c5a	a1dd2f51205863c3d5d3527991d538ca8adf7587	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid3.15k	\N	\N	65536	05295ec3	33dd0853a2064cb4301cfbdc7856def81f6e1223	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	robokid	robokid4.12k	\N	\N	65536	3bc3977f	da394e12d197b0e109b03c854da06b1267bd9d59	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	rollrace	\N	\N	\N	\N	\N	Roller Aces	1983	Williams	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	1.17a	\N	\N	8192	f0fa72fc	b73e794df635630f29a79adfe2951dc8f1d17e20	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	1.8k	\N	\N	8192	c0bd3cf3	a44d69b8c3249b5093261a32d0e0404992fa7f7a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	1.9m	\N	\N	8192	b37effd8	d77d56d734834812b8d9b3c156577dbbcb2deac8	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	10.17t	\N	\N	8192	70bf7b23	6774eceb0bfea66156ecd837f9d0adbdf8dec8ee	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	11.18m	\N	\N	8192	06a5d849	b9f604edf4fdc053b738041493aef91dd730fe6b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	12.18p	\N	\N	8192	569815ef	db261799892f60b2274b73fb25cde58219bb44db	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	13.18t	\N	\N	8192	4f8af872	6c07ff0733b8d8440309c9ae0db0876587b740a6	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	14.19m	\N	\N	8192	93f3c649	38d6bb4b6108a67b135ae1a145532f4a0c2568b8	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	15.19p	\N	\N	8192	5b3d87e4	e47f7b62bf7101afba8d5e181f4bd8f8eb6eeb08	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	16.19t	\N	\N	8192	a2c24b64	e76558785ea337ab902fb6f94dc1a4bdfcd6335e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	2.17c	\N	\N	8192	2e38bb0e	684f14a06ff957e40780be21c0ad5f10088a55ed	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	2.8h	\N	\N	8192	c1900a75	f7ec968b6bcb6ee6db98628cdf566ae0a501edba	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	2.8m	\N	\N	8192	80573091	ea352abebc428db9e89eda5f369a3b1086aa8970	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	3.18a	\N	\N	8192	954268f7	07057296e0281f90b18dfe4223aad18bff7cfa6e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	3.7m	\N	\N	8192	f9970aae	ccb806cab3d3817c779e048f995d1f6fbe163679	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	3.8f	\N	\N	8192	16ceced6	241119959ffdf26780258bcc5651eca0c6a6128f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	4.18c	\N	\N	8192	3d9e16ab	e99628ffc54e3ff4818313a287ca111617120910	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	4.8d	\N	\N	8192	ae826a96	47979343c9fa7629ba6d62630c7c3fdfa2c8c28a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	5.20f	\N	\N	8192	51dd0108	138c0aba6c952204e794216193def17b390c4ba2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	6.20j	\N	\N	8192	003d7515	d8d84d690478cad16101f2ef9a1ae1ae74d01c88	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	7.18j	\N	\N	8192	27843afa	81d3031a2c06086461110696a0ee11d32992ecac	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	8.17m	\N	\N	8192	e2afe3a3	a83a12c0c6c62e45add916a6993f0ad06840c4d9	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	8.6e	\N	\N	4096	6ec3c545	1a2477b9e1563734195b0743f5dbbb005e06022e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	9.17p	\N	\N	8192	8a8e6b62	6e7d4a84b7c78e009bce0641e357f74c8ac9e5ac	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	tbp24s10.6t	\N	\N	256	c096e05c	cb5b509e6124453f381a683ba446f8f4493d4610	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	tbp24s10.7t	\N	\N	256	c0426582	8e3e4d1e76243cce272aa099d2d6ad4fa6c99f7c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	rollrace	tbp24s10.7u	\N	\N	256	9d199d33	b8982f7da2b85f10d117177e4e73cbb486931cf5	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	valtric	\N	\N	\N	\N	\N	Valtric	1987	Jaleco	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_01.bin	\N	\N	32768	4616484f	24d060218cc1542ebfc2100ecd6489a0e17b36ee	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_02.bin	\N	\N	65536	66401977	91c527d0bcea54d723068715a12cb3c976d04294	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_03.bin	\N	\N	65536	9203bbce	f40cee48f62a87a0b5d18e271faa5b8dd36ae5f1	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_04.bin	\N	\N	32768	709c705f	b82e2209a0371dcbc2708c485b02985cea04353f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_05.bin	\N	\N	65536	7ab2684b	9bca7e2fd3b5f4043de37cd439d5235957e5012f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_06.bin	\N	\N	65536	c9cbb4e4	3c84cda778263a9bb2031e29f6f29f29878d2070	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_07.bin	\N	\N	32768	d5f9bfb9	6b3f11f9b8f76c0144a109f1506d8cbb01876237	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_08.bin	\N	\N	65536	661dd338	cc643a14607c10e4a1710766f77422cd89a6bf94	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_09.bin	\N	\N	65536	085a35b1	ff589e67b6b5a6e661f29294a32a3840f45a9304	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_10.bin	\N	\N	65536	09c47323	fcfbd5054e63fae00b6a3959228964ac8f3cbf37	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	valtric	vt_11.bin	\N	\N	65536	4cf800b5	7241e284b15475d8a6d533e4caadd0acbf058231	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	vastar	\N	\N	\N	\N	\N	Vastar	1983	Sesame Japan	\N	\N	\N	
game_rom	JFF_v0.24	vastar	c_c9.rom	\N	\N	8192	34f067b6	45d7f8be5bd1dc9e5e511aa2e99c216c5ff12273	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	c_f7.rom	\N	\N	8192	edbf3b13	9d6ddf16e83c68c831fec28607584471b5cbcbd2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	c_f9.rom	\N	\N	8192	8f309e22	f5bbc5cf70687415061a0674e273e20fbfcc1f8f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	c_n4.rom	\N	\N	8192	b5f9c866	17fc38cd40638e4f5d25c0cae70df3b8f03425dd	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	c_s4.rom	\N	\N	8192	c9fbbfc9	7c6ace0e2eae8420a31d9054ad5dd94924273d5f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_f2.rom	\N	\N	4096	713478d8	9cbd1fb689d93a8964f48e59d4effaa4878b2945	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_f4.rom	\N	\N	4096	45fa5075	99c3d7414f3bc3a84430067a71dd00d260bbcdab	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_h4.rom	\N	\N	4096	94a4f778	d52b3d6ed4953cff6dde1884dec9f9cc94847cb2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_j2.rom	\N	\N	4096	e4535442	280d93bec5cf6183250827ce70ed5ddff968bba5	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_j4.rom	\N	\N	4096	bd607651	23d3c7d2a0c17a780286a01a93e480aafcdb4b05	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_k4.rom	\N	\N	4096	84531982	bf2fd92d821734f64ad72e13f4e1aae8e055aa43	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_l4.rom	\N	\N	4096	40e4d57b	3f073574f430791518283314ce325e48d8daa246	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_n4.rom	\N	\N	4096	7a3779a4	98e7092ed4eaec1ab129a7bede6ea1cf16e329f0	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_n5.rom	\N	\N	4096	f63f0e78	a029e340b11b358dbe0dcf2d1a0e6c6c093bbc9d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	e_n7.rom	\N	\N	4096	31b6be39	be0d03db9c6c8982b2f38ad534a6e213bbde1802	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	tbp24s10.6m	\N	\N	256	4c3db907	03bcbc4763dcf49f4a06f499042e36183aa8b762	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	tbp24s10.6p	\N	\N	256	a712d73a	a65fa5928431d8631fb04e01ad0a0d2de849bf1d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	vastar	tbp24s10.6s	\N	\N	256	0a7d48ec	400e0b271c241712e7b7502e96e4f8a609e078e1	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	xxmiss	\N	\N	\N	\N	\N	XX Mission	1986	UPL	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx1.4l	\N	\N	32768	86e07709	7bfb7540b6509f07a6388ca2da6b3892f5b1df74	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx10.4c	\N	\N	32768	d27d7834	60c24dc2ab7e2a33da4002f1f07eaf7898cf387f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx11.4b	\N	\N	32768	d9dd827c	aea3a5abd871adf7f75ad4d6cc57eff0833135c7	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx2.4b	\N	\N	16384	13fa7049	e8974d9f271a966611b523496ba8cd910e227a23	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx3.6a	\N	\N	32768	16fdacab	2158ca9b14c52bc1cd5ef0f4c0180f0519224403	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx4.6b	\N	\N	32768	274bd4d2	2ddf9b953584e26f221b1c86181d827bdc3dc81b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx5.6d	\N	\N	32768	c5f35535	6812b70beb73fc80cf20d2d51f747952ed106887	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx6.8j	\N	\N	32768	dc954d01	73ecbbc859da9db9fead91cd03bb90e5779916e2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx7.8h	\N	\N	32768	abe9cd68	f3ce9b40e3d9cdc9b77a43f9d5d0411338d88833	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx8.8f	\N	\N	32768	a9587cc6	5fbcb88505f89c4d8a2a228489612ff66fc5d3af	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	xxmiss	xx9.8e	\N	\N	32768	854e0e5f	b01d6a735b175c2f7ac3fc4053702c9da62c6a4e	\N	\N	\N	\N	\N	\N	
