game	KEM_v1.1	2tigers	\N	\N	\N	\N	\N	Two Tigers	1984	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-snd.03	\N	\N	4096	b1f4a6a8	ba724f9cc0cc35dd31d4ad8b36a51da9d6cbfbcf	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-bg.00	\N	\N	8192	3e2b333c	b4347d0b3d6149e94da4a38684c0fab931e76cc5	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-bg.01	\N	\N	8192	d1d70cc4	550e2e8c0bcbf7913b218fe48cd3324622c8d0f4	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-fg.00	\N	\N	8192	33f4554e	88dd803158d3c65429b79d2aaf8334130315aa93	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-fg.01	\N	\N	8192	ba1a38b4	cee5f0a66e40c779f1bfbb4bfafe5301385e7dae	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-fg.02	\N	\N	8192	6b57f6da	71165df59dd5ca037116dc0f46fd4f6aac6dbfd1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-fg.03	\N	\N	8192	37ea9d07	82e006b01ee12390308be530d4b68fc2404b6b91	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	solarfox	\N	\N	\N	\N	\N	Solar Fox	1981	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.3b	\N	\N	4096	8c40f6eb	a323897cfa8771edd28d58d806913e62110a2689	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.4b	\N	\N	4096	4d47bd7e	0cfa09f2c1fe6d662c3a96abc43edf431ccf6d02	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.5b	\N	\N	4096	b52c3bd5	bc289641830a3c6640303b1a799c378bf456bed1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.4d	\N	\N	4096	bd5d25ba	b7be1250dfb6af9cc0f9c6b446fb183528eab7de	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.5d	\N	\N	4096	dd57d817	059a020313cf929130d1ae9a80f3b91c54fe7699	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.6d	\N	\N	4096	bd993cd9	c074a6a40d0b9c0f4bf3fc5982263c89549fb338	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.7d	\N	\N	4096	8ad8731d	ffd19c3fbad3c5a240ab27963812cc300f3d7b89	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfsnd.7a	\N	\N	4096	cdecf83a	5acd2709e214408d756b39916bb98cd4ecda7988	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfsnd.8a	\N	\N	4096	cb7788cb	9e86f9131a6f0fc96dd436e21baf45e215ee65f4	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfsnd.9a	\N	\N	4096	304896ce	00ff640eab50022da980cdc5ce8cedebaaebc9cf	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.4g	\N	\N	4096	ba019a60	81923f8c51eedfef6f5e9d6ace1d785d7afafc14	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfcpu.5g	\N	\N	4096	7ff0364e	b04034fc076008302931a485e00762dc34660498	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfvid.1a	\N	\N	8192	9d9b5d7e	4896c532a3d5763284a4403e8558f634f7b968d8	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfvid.1b	\N	\N	8192	78801e83	23b5811a03fe4ad576c5313d2205203577300159	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfvid.1d	\N	\N	8192	4d8445cf	fbe427da0e758b79eb2230713f2cd12e6f8bdeb7	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	solarfox	sfvid.1e	\N	\N	8192	3da25495	e7b703bc8caca7497af92efc869c6f1b7dbc8bf1	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	tapper	\N	\N	\N	\N	\N	Tapper (Budweiser)	1983	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tappg0.bin	\N	\N	16384	127171d1	373e9a9d73b71e100c02862662d025f5ead2f94d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tappg1.bin	\N	\N	16384	9d6a47f7	e493e46fc70a765e54bfdd7ba7ca570e6a5c79d6	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tappg2.bin	\N	\N	16384	3a1f8778	cb46a2248289ced7282b1463f433dcb970c42c1a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tappg3.bin	\N	\N	8192	e8dcdaa4	45bf1571a2418c7dc00ccc7061a3e04e65cb6bff	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapsnda7.bin	\N	\N	4096	0e8bb9d5	9e281c340b7702523c86d56317efad9e3688e585	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapsnda8.bin	\N	\N	4096	0cf0e29b	14334b9d2bfece3fe5bda0cbd53158ead8d27e53	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapsnda9.bin	\N	\N	4096	31eb6dc6	b38bba5f12516d899e023f99147868e3402fbd7b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapsda10.bin	\N	\N	4096	01a9be6a	0011407c1e886071282808c0a561789b1245a789	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapbg1.bin	\N	\N	16384	2a30238c	eb30b9bb654324340f0fc5b44776ac2440c1e869	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapbg0.bin	\N	\N	16384	394ab576	23e29ec942e1e7516ae8068837af2d1c79592378	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg1.bin	\N	\N	16384	32509011	a38667573d235efe2dc515e52af05825fe4e0f30	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg0.bin	\N	\N	16384	8412c808	2077f79177fda26f9c674b2ab525ec3833802059	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg3.bin	\N	\N	16384	818fffd4	930142dd73fb30c4d3ec09a1e37517c6c6774024	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg2.bin	\N	\N	16384	67e37690	d553b8517c1d03a2be0b065f4da2fa99d9e6fb30	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg5.bin	\N	\N	16384	800f7c8a	8aead89e1adaee5f0b679661c4bfba36e0d639e8	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg4.bin	\N	\N	16384	32674ee6	402c166d50b4a693959b3f0706a7931a5daef6ce	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg7.bin	\N	\N	16384	070b4c81	95879a455ecfe2e3de7fe2a75078f9e6934960f5	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tapper	tapfg6.bin	\N	\N	16384	a37aef36	a24696f16d467d9eea4f25aef5f4c5ff55bf51ff	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	timber	\N	\N	\N	\N	\N	Timber	1984	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	timber	timpg0.bin	\N	\N	16384	377032ab	7b6c6e9c5088651720990c49296ddccb5416a729	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timpg1.bin	\N	\N	16384	fd772836	ce5266f7b1ab7dc8c1af864bc8afe33d724649fc	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timpg2.bin	\N	\N	16384	632989f9	9e9dc343746299bb0dc7ada206211366c5a05075	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timpg3.bin	\N	\N	8192	dae8a0dc	f065fa3184efa6524d4f950616f3fbae4ea17513	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	tima7.bin	\N	\N	4096	c615dc3e	664d5e3ac3936fd04a855ee0c88f1c1b4d1dea5b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	tima8.bin	\N	\N	4096	83841c87	bd5a2e567e015e10e45651e15b42ffb3b69d2305	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	tima9.bin	\N	\N	4096	22bcdcd3	69cedc8cec52ca310f828dfe73d7de04729b06d3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timbg1.bin	\N	\N	16384	b1cb2651	799efcc35b08a3432ee2c13de3f6c65477a6de07	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timbg0.bin	\N	\N	16384	2ae352c4	8039f09cdba6ce43005f98dcff91958ba16363bb	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg1.bin	\N	\N	16384	81de4a73	38e06b67004aa44dc58d205793ae83d3707472a6	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg0.bin	\N	\N	16384	7f3a4f59	2723cb93c1b7b229b370d069651cf83ecb1cff3a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg3.bin	\N	\N	16384	37c03272	2f5793b6a148af43c5b6efe718714942ce7d271b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg2.bin	\N	\N	16384	e2c2885c	618dab8cf2ee189343210d0e20dd246447c4c542	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg5.bin	\N	\N	16384	eb636216	c347a64933f547cf1925e5fa187deda6e0bf713c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg4.bin	\N	\N	16384	b7105eb7	913687f0e5dd105a3dfdc0afd1b5610b27124451	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg7.bin	\N	\N	16384	d9c27475	24a7e6200e4f3514d4d3f25b2ffe3338c0c2a495	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timber	timfg6.bin	\N	\N	16384	244778e8	494bc1e627997cd4f1d5267c5fafd0779ccf9255	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	timep	\N	\N	\N	\N	\N	Time Pilot	1982	Konami	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm1	\N	\N	8192	1551f1b9	c72f30988ac00cbe6549b71c3bcb414511e8b997	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm2	\N	\N	8192	58636cb5	ab517efa93ae7be780af55faea82a6e83edd828c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm3	\N	\N	8192	ff4e0d83	ef98a1abb45b22d7498a0aca520f43bbee248b22	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm7	\N	\N	4096	d66da813	408fca4515e8af84211df3e204c8776b2f8adb23	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm6	\N	\N	8192	c2507f40	07221875e3f81d9def67c57a7ccd82d52ce65e01	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm4	\N	\N	8192	7e437c3e	cbe2ccd2cd503af62f009cd5aab73aa7366230b1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	timep	tm5	\N	\N	8192	e8ca87b9	5dd30d3fb9fd8cf9e6a8e37e7ea858c7fd038a7e	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	tron	\N	\N	\N	\N	\N	Tron (set 1)	1982	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_pga.bin	\N	\N	8192	5151770b	26f4d830de7be228528e462dd628f439629a2641	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_pgb.bin	\N	\N	8192	8ddf8717	e0c294afa8ba0b0ba89e3e0fb3ff6d8fc4398e32	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_pgc.bin	\N	\N	8192	4241e3a0	24c1bd2f31e194542571c391c5dccf21354115c2	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_pgd.bin	\N	\N	8192	035d2fe7	1b827ca30a439d2f4cc94fcc0e90ee0cf87e018c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_pge.bin	\N	\N	8192	24c185d8	45ac7c53f6f4eba5c7bf3fc6559cddd3821eddad	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_pgf.bin	\N	\N	8192	38c4bbaf	a7cd496ce75199b8279ea963520cf70d5f562bb2	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	ssi_0a.bin	\N	\N	4096	765e6eba	42efeefc8571dfc237c0be3368248f1e56add92e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	ssi_0b.bin	\N	\N	4096	1b90ccdd	0876e5eeaa63bb8cc97f3634a6ddd8a29a9b012f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	ssi_0c.bin	\N	\N	4096	3a4bc629	ce8452a99a313ae7429de471bbea39de08c9fd4b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_bgg.bin	\N	\N	8192	1a9ed2f5	b0d85b47873ac8ad475da18b9540d37232cb2b7c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	scpu_bgh.bin	\N	\N	8192	3220f974	a38ea5f1db27f05d9689db838ce7a8de98f34837	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	vg_3.bin	\N	\N	8192	bc036d1d	c5d54d0b80ac768ccf6fdd32cad1ef6359fa324c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	vg_2.bin	\N	\N	8192	58ee14d3	5fb4268c9c73bdfc3b1e866618979aea3f219bbc	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	vg_1.bin	\N	\N	8192	3329f9d4	11f4d744374e475d2c5b195a9f70888414529dd3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	tron	vg_0.bin	\N	\N	8192	9743f873	71ed80ecd8caaf9fce1d7010f95c4678c9bd7102	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	wacko	\N	\N	\N	\N	\N	Wacko	1982	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackocpu.2d	\N	\N	8192	c98e29b6	38fbb663c238b354925b34b67de246d8ba3356e1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackocpu.3d	\N	\N	8192	90b89774	1f9cbe8134e7d7f797d88c0cb4be3d8c39ca03a3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackocpu.4d	\N	\N	8192	515edff7	9288cb5efb51086ef8610eecf8e3feae1da9fc2a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackocpu.5d	\N	\N	8192	9b01bf32	d209ba2503d7b54786f74107bb399313a08a09ba	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackosnd.7a	\N	\N	4096	1a58763f	37f0870d67d52c86ae2d188e9beaa56a3a8fa130	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackosnd.8a	\N	\N	4096	a4e3c771	fe677090423e1d80cde07d2e74be8380d8c55e95	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackosnd.9a	\N	\N	4096	155ba3dd	51aaeeb68b2b7eb8238c7c3b06e84dcf44683ee9	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackocpu.3g	\N	\N	8192	33160eb1	7d66198cb84294cc3689d7f51365566f252d6252	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackocpu.4g	\N	\N	8192	daf37d7c	37fe68b0a5984828ec03886860f84a20461713fc	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackovid.1e	\N	\N	8192	dca59be7	c78af8e0c99a6f58a35f8aa73bcee15ee8fda372	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackovid.1d	\N	\N	8192	a02f1672	1d1b7eada4dae5e31dc1474b13cefd71926cbfc7	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackovid.1b	\N	\N	8192	7d899790	aa320f4ac41d2a1acec4880a8d95dfe6406e210e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	wacko	wackovid.1a	\N	\N	8192	080be3ad	ead2be17d749a15841123e42d434aab573870fba	\N	\N	\N	\N	\N	\N	
