game	ZiNc_v1.1	starglad	\N	\N	\N	cpzn1	\N	Star Gladiator (US 960627)	1996	Capcom	\N	\N	\N	
game	ZiNc_v1.1	stargld2	\N	\N	plsmaswd	plsmaswd	\N	Star Gladiator 2 (JAPAN 980316)	1998	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2j-04	\N	\N	524288	cf4ce6ac	52b6f61d79671c9c108b3dfbd3c2ac333285412c	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-05m	sg2-05m	\N	8388608	f1759236	fbe3a820a8c571dfb186eae68346e6461168ed48	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-06m	sg2-06m	\N	8388608	33de4f72	ab32af76b5682e3d9f67dadbaed35abc043912b4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-07m	sg2-07m	\N	8388608	72f724ba	e6658b495d308d1de6710f87b5b9d346008b0c5a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-08m	sg2-08m	\N	8388608	9e169eee	6141b1a7863fdfb200ca35d2893979a34dcc3f6c	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-09m	sg2-09m	\N	4194304	33f73d4c	954695a43e77b58585409678bd87c76adac1d855	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-02	sg2-02	\N	131072	415ee138	626083c8705f012552691c450f95401ddc88065b	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-03	sg2-03	\N	131072	43806735	88d389bcc79cbd4fa1f4b62008e171a897e77652	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	stargld2	sg2-01m	sg2-01m	\N	4194304	643ea27b	40747432d5cfebac54d3824b6a6f26b5e7742fc1	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	rvschola	\N	\N	rvschool	rvschool	\N	Rival Schools (ASIA 971117)	1997	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jsta-04	\N	\N	524288	034b1011	6773246be242ee336503d21d7d44a3884832eb1e	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-05m	jst-05m	\N	4194304	723372b8	2a7c95d1f9a3f58c469dfc28ead1fd192eaaebd1	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-06m	jst-06m	\N	4194304	4248988e	4bdf7cac17d70ea85aa2002fc6b21a64d05e6e5a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-07m	jst-07m	\N	4194304	c84c5a16	5c0ca7454189c766f1ca7305504ff1867007c8e6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-08m	jst-08m	\N	4194304	791b57f3	4ea12a0f7a7110d7dcbc55b3f02aa9a92dea4b12	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-09m	jst-09m	\N	4194304	6df42048	9e2b4a424de3918e5e54bc87fd9dcceff8d162be	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-10m	jst-10m	\N	4194304	d7e22769	733f96dce2586fc0a8af3cec18153085750c9a4d	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-11m	jst-11m	\N	4194304	0a033ac5	218b33cb51db99d3e9ee180da6a74460f4444fc6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-12m	jst-12m	\N	4194304	43bd2ddd	7f2976e394362cb648f620e430b3bf11b71485a6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-13m	jst-13m	\N	4194304	6b443235	c764d8b742aa1c46bc8d37f36e864ef50a1ff4e4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-02	jst-02	\N	131072	7809e2c3	0216a665f7978bc8db3f7fdab038e1c7aa120844	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-03	jst-03	\N	131072	860ff24d	eea72fa5eaf407a112a5b3daf60f7ac8ad191cc7	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschola	jst-01m	jst-01m	\N	4194304	9a7c98f9	764c6c4f41047e1f36d2dceac4aa9b943a9d529a	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	jgakuen	\N	\N	rvschool	rvschool	\N	Justice Gakuen (JAPAN 971117)	1997	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jstj-04	\N	\N	524288	28b8000a	9ebf74b453d775cadca9c2d7d8e2c7eb57bb9a38	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-05m	jst-05m	\N	4194304	723372b8	2a7c95d1f9a3f58c469dfc28ead1fd192eaaebd1	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-06m	jst-06m	\N	4194304	4248988e	4bdf7cac17d70ea85aa2002fc6b21a64d05e6e5a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-07m	jst-07m	\N	4194304	c84c5a16	5c0ca7454189c766f1ca7305504ff1867007c8e6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-08m	jst-08m	\N	4194304	791b57f3	4ea12a0f7a7110d7dcbc55b3f02aa9a92dea4b12	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-09m	jst-09m	\N	4194304	6df42048	9e2b4a424de3918e5e54bc87fd9dcceff8d162be	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-10m	jst-10m	\N	4194304	d7e22769	733f96dce2586fc0a8af3cec18153085750c9a4d	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-11m	jst-11m	\N	4194304	0a033ac5	218b33cb51db99d3e9ee180da6a74460f4444fc6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-12m	jst-12m	\N	4194304	43bd2ddd	7f2976e394362cb648f620e430b3bf11b71485a6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-13m	jst-13m	\N	4194304	6b443235	c764d8b742aa1c46bc8d37f36e864ef50a1ff4e4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-02	jst-02	\N	131072	7809e2c3	0216a665f7978bc8db3f7fdab038e1c7aa120844	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-03	jst-03	\N	131072	860ff24d	eea72fa5eaf407a112a5b3daf60f7ac8ad191cc7	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	jgakuen	jst-01m	jst-01m	\N	4194304	9a7c98f9	764c6c4f41047e1f36d2dceac4aa9b943a9d529a	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	rvschool	\N	\N	\N	cpzn2	\N	Rival Schools (US 971117)	1997	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jstu-04	\N	\N	524288	d83724ae	0890c0164116606acc600f646e82972d0d4f79b4	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-05m	\N	\N	4194304	723372b8	2a7c95d1f9a3f58c469dfc28ead1fd192eaaebd1	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-06m	\N	\N	4194304	4248988e	4bdf7cac17d70ea85aa2002fc6b21a64d05e6e5a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-07m	\N	\N	4194304	c84c5a16	5c0ca7454189c766f1ca7305504ff1867007c8e6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-08m	\N	\N	4194304	791b57f3	4ea12a0f7a7110d7dcbc55b3f02aa9a92dea4b12	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-09m	\N	\N	4194304	6df42048	9e2b4a424de3918e5e54bc87fd9dcceff8d162be	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-10m	\N	\N	4194304	d7e22769	733f96dce2586fc0a8af3cec18153085750c9a4d	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-11m	\N	\N	4194304	0a033ac5	218b33cb51db99d3e9ee180da6a74460f4444fc6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-12m	\N	\N	4194304	43bd2ddd	7f2976e394362cb648f620e430b3bf11b71485a6	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-13m	\N	\N	4194304	6b443235	c764d8b742aa1c46bc8d37f36e864ef50a1ff4e4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-02	\N	\N	131072	7809e2c3	0216a665f7978bc8db3f7fdab038e1c7aa120844	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-03	\N	\N	131072	860ff24d	eea72fa5eaf407a112a5b3daf60f7ac8ad191cc7	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	rvschool	jst-01m	\N	\N	4194304	9a7c98f9	764c6c4f41047e1f36d2dceac4aa9b943a9d529a	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	shiryu2	\N	\N	strider2	strider2	\N	Strider Hiryu 2 (JAPAN 991213)	1999	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2j-04	\N	\N	524288	0824ee5f	a296ffe03f0d947deb9803d05de3c240a26b52bb	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-05m.bin	hr2-05m.bin	\N	8388608	18716fe8	bb923f18120086054cd6fd91f77d27a190c1eed4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-06m.bin	hr2-06m.bin	\N	8388608	6f13b69c	9a14ecc72631bc44053af71fe7e3934bedf1a71e	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-07m.bin	hr2-07m.bin	\N	8388608	3925701b	d93218d2b97cc0fc6c30221bd6b5e955520fbc46	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-08m.bin	hr2-08m.bin	\N	8388608	d844c0dc	6010cfbf4dc42fda182884d78e12dcb63df00249	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-09m.bin	hr2-09m.bin	\N	8388608	cdd43e6b	346a83deadecd56428276acefc2ce95249a49921	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-10m.bin	hr2-10m.bin	\N	4194304	d95b3f37	b6566c1184718f6c0986d13060894c0fb400c201	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-02.bin	hr2-02.bin	\N	131072	acd8d385	5edb61c3d66d2d09a28a71db52eee3a9f7db8c9d	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	shiryu2	hr2-01m.bin	hr2-01m.bin	\N	2097152	510a16d1	05f10c2921a4d3b1fab4d0a4ea06351809bdbb07	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	strider2	\N	\N	\N	cpzn2	\N	Strider 2 (ASIA 991213)	1999	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2a-04	\N	\N	524288	56ff9394	fe8417965d945210ac098c6678c02f1c678bd13b	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-05m.bin	\N	\N	8388608	18716fe8	bb923f18120086054cd6fd91f77d27a190c1eed4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-06m.bin	\N	\N	8388608	6f13b69c	9a14ecc72631bc44053af71fe7e3934bedf1a71e	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-07m.bin	\N	\N	8388608	3925701b	d93218d2b97cc0fc6c30221bd6b5e955520fbc46	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-08m.bin	\N	\N	8388608	d844c0dc	6010cfbf4dc42fda182884d78e12dcb63df00249	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-09m.bin	\N	\N	8388608	cdd43e6b	346a83deadecd56428276acefc2ce95249a49921	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-10m.bin	\N	\N	4194304	d95b3f37	b6566c1184718f6c0986d13060894c0fb400c201	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-02.bin	\N	\N	131072	acd8d385	5edb61c3d66d2d09a28a71db52eee3a9f7db8c9d	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	strider2	hr2-01m.bin	\N	\N	2097152	510a16d1	05f10c2921a4d3b1fab4d0a4ea06351809bdbb07	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	kikaioh	\N	\N	techromn	techromn	\N	Kikaioh (JAPAN 980914)	1998	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kioj-04	\N	\N	524288	3a2a3bc8	3c4ae3cfe00a7f60ab2196ae042dab4a8eb6f597	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-05m.bin	kio-05m.bin	\N	8388608	98e9eb24	144773296c213ab09d626c915f90bb74e24487f0	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-06m.bin	kio-06m.bin	\N	8388608	be8d7d73	bcbbbd0b83503f2ed32527444e0da3afd774d3f7	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-07m.bin	kio-07m.bin	\N	8388608	ffd81f18	f8387a9d45e79f97ccdffabe755638a60f80ccf5	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-08m.bin	kio-08m.bin	\N	8388608	17302226	976ba7f48c9a52d24388cd63d02be08627cf2e30	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-09m.bin	kio-09m.bin	\N	8388608	a34f2119	50fa992eba5324a173fcc0923227c13cad4f97e5	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-10m.bin	kio-10m.bin	\N	8388608	7400037a	d58641e1d6bf1c6ca04f6c98d6809edaa7df75d3	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-02.bin	kio-02.bin	\N	131072	174309b3	b35b9c3905d2fabaa8410f70f7b382e916c89733	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-03.bin	kio-03.bin	\N	131072	0b313ae5	0ea39305ca30f376930e39b134fd1a52200624fa	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	kikaioh	kio-01m.bin	kio-01m.bin	\N	4194304	6dc5bd07	e1755a48465f741691ea0fa1166cb2dc09210ed9	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	techromn	\N	\N	\N	cpzn2	\N	Tech Romancer (US 980914)	1998	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kiou-04	\N	\N	524288	08aca34a	768a37f719af5d96993db5592b6505b013e0d6f4	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-05m.bin	\N	\N	8388608	98e9eb24	144773296c213ab09d626c915f90bb74e24487f0	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-06m.bin	\N	\N	8388608	be8d7d73	bcbbbd0b83503f2ed32527444e0da3afd774d3f7	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-07m.bin	\N	\N	8388608	ffd81f18	f8387a9d45e79f97ccdffabe755638a60f80ccf5	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-08m.bin	\N	\N	8388608	17302226	976ba7f48c9a52d24388cd63d02be08627cf2e30	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-09m.bin	\N	\N	8388608	a34f2119	50fa992eba5324a173fcc0923227c13cad4f97e5	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-10m.bin	\N	\N	8388608	7400037a	d58641e1d6bf1c6ca04f6c98d6809edaa7df75d3	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-02.bin	\N	\N	131072	174309b3	b35b9c3905d2fabaa8410f70f7b382e916c89733	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-03.bin	\N	\N	131072	0b313ae5	0ea39305ca30f376930e39b134fd1a52200624fa	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	techromn	kio-01m.bin	\N	\N	4194304	6dc5bd07	e1755a48465f741691ea0fa1166cb2dc09210ed9	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	ts2	\N	\N	\N	cpzn1	\N	Battle Arena Toshinden 2 (US 951124)	1995	Capcom/Takara	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2u-04	\N	\N	524288	ddb52e7c	e77891abae7681d911ef6eba2e0920d81433ebe6	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2-05	\N	\N	4194304	7f4228e2	3690a76d19d97e55bc7b05a8456328697cfd7a77	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2-06m	\N	\N	4194304	cd7e0a27	325b5f2e653cdea07cddc9d20d12b5ab50dca949	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2-08m	\N	\N	4194304	b1f7f115	3f416d2aac07aa73a99593b5a21b047da60cea6a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2-10	\N	\N	2097152	ad90679a	19dd30764f892ee7f89c78ccbccdaf4d6b0e6e09	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2-02	\N	\N	131072	2f45c461	513b6b9b5a2f7c567c30c958e0e13834cd9bd266	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2	ts2-01	\N	\N	4194304	d7a505e0	f1b0cdea712101f695bd326eccd753eb79a07490	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	ts2j	\N	\N	ts2	ts2	\N	Battle Arena Toshinden 2 (JAPAN 951124)	1995	Capcom/Takara	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2j-04	\N	\N	524288	4aba8c5e	a56001bf50bfc1b03036e88ae1febd1aac8c63c0	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2-05	ts2-05	\N	4194304	7f4228e2	3690a76d19d97e55bc7b05a8456328697cfd7a77	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2-06m	ts2-06m	\N	4194304	cd7e0a27	325b5f2e653cdea07cddc9d20d12b5ab50dca949	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2-08m	ts2-08m	\N	4194304	b1f7f115	3f416d2aac07aa73a99593b5a21b047da60cea6a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2-10	ts2-10	\N	2097152	ad90679a	19dd30764f892ee7f89c78ccbccdaf4d6b0e6e09	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2-02	ts2-02	\N	131072	2f45c461	513b6b9b5a2f7c567c30c958e0e13834cd9bd266	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	ts2j	ts2-01	ts2-01	\N	4194304	d7a505e0	f1b0cdea712101f695bd326eccd753eb79a07490	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	tgmj	\N	\N	\N	cpzn2	\N	Tetris The Grand Master (JAPAN 980710)	1998	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	tgmj	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	tgmj	atej-04	\N	\N	524288	bb4bbb96	808f4b29493e74efd661d561d11cbec2f4afd1c8	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	tgmj	ate-05	\N	\N	4194304	50977f5a	78c2b1965957ff1756c25b76e549f11fc0001153	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	tgmj	ate-06	\N	\N	4194304	05973f16	c9262e8de14c4a9489f7050316012913c1caf0ff	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	tgmj	ate-02	\N	\N	131072	f4f6e82f	ad6c49197a60f456367c9f78353741fb847819a1	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	tgmj	ate-01	\N	\N	4194304	a21c6521	560e4855f6e00def5277bdd12064b49e55c3b46b	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sncwgltd	\N	\N	\N	\N	\N	Sonic Wings Limited (JAPAN)	1996	Video System	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	coh-1002v.353	\N	\N	524288	5ff165f3	8f59314c1093446b9bcb06d232244da6df78e206	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic5.bin	\N	\N	524288	458f14aa	b4e50be60ffb9b7911561dd35b6a7e0df3432a3a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic6.bin	\N	\N	524288	8233dd1e	1422b4530d671e3b8b471ec16c20ef7c819ab762	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic7.bin	\N	\N	524288	df5ba2f7	19153084e7cff632380b67a2fff800644a2fbf7d	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic8.bin	\N	\N	524288	e8145f2b	3a1cb189426998856dfeda47267fde64be34c6ec	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic9.bin	\N	\N	524288	605c9370	9734549cae3028c089f4c9f2336ee374b3f950f8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic11.bin	\N	\N	4194304	a93f6fee	6f079643b50833f8fb497c49945ad23326cc9170	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic12.bin	\N	\N	4194304	9f584ef7	12c04e198f17d1915f58e83aff45ca2e76773df8	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic13.bin	\N	\N	4194304	652e9c78	a929b2944de72606338acb822c1031463e2b1cc5	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic14.bin	\N	\N	4194304	c4ef1424	1734a6ee6d0be94d24afefcf2a125b74747f53d0	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic15.bin	\N	\N	4194304	2551d816	e1500d4bfa8cc55220c366a5852263ac2070da82	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sncwgltd	ic16.bin	\N	\N	4194304	21b401bc	89374b80453c474aa1dd3a219422f557f95a262c	\N	user3	\N	\N	\N	\N	
game	ZiNc_v1.1	beastrzb	\N	\N	\N	psarc95	\N	Beastorizer (US Bootleg)	1997	Eighting/Raizing	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	coh-1002e.353	coh-1002e.353	\N	524288	910f3a8b	cd68532967a25f476a6d73473ec6b6f4df2e1689	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c160.1	\N	\N	2097152	820855e2	18bdd4d0b4a92ae4fde457e1f37c813be6eece71	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c160.4	\N	\N	2097152	2d2b25f4	77d8ad94602e71f16b47de47bc2e0a97957c530b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c160.5	\N	\N	2097152	10fe6f4d	9faee2faa6d741e1caf25edd093644be5723aa5c	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c160.2	\N	\N	2097152	1712af34	3a78997a2ad0fec1b09828b47150a4be611cd9ad	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c800.3	\N	\N	1048576	7192eb4e	bb276a38261099d91080d8613dc7500322f6fcab	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c4096.1	\N	\N	524288	217734a1	de4f519215123c09b3b5f27509b4d74604b5e03d	\N	sound1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c4096.2	\N	\N	524288	d1f2a9b2	d1475a453ce4e3b9f2ff59abedf0f57ba3c408fe	\N	sound1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	beastrzb	27c240.3	\N	\N	524288	509cdc8b	8b92b79be09de56e7d40c2d02fcbeca92bb60226	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	beastrzr	\N	\N	\N	psarc95	\N	Beastorizer (US)	1997	Eighting/Raizing	\N	\N	\N	
