game	Replay+_v1.00	bnj	\N	\N	\N	\N	\N	Bump 'n' Jump	1982	Data East USA (Bally Midway license)	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s8-15l	\N	\N	4096	672a92d0	1bc89f6a76873504aa0fcfa0c6a43e8546edde27	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s9-15m	\N	\N	4096	87c8ee9a	158019b18bc3e5104bebeb241c077a706bf72ff2	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	turtles	\N	\N	\N	\N	\N	Turtles	1981	[Konami] (Stern license)	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.2c	\N	\N	4096	ec5e61fb	3ca89800fda7a7e61f54d71d5302908be2706def	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.2e	\N	\N	4096	fd10821e	af74602bf2454eb8f3b9bb5c425e2476feeecd69	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.2f	\N	\N	4096	ddcfc5fa	2af9383e5a289c2d7fbe6cf5e5b1519c352afbab	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.2h	\N	\N	4096	9e71696c	3dcdf5dc601c875fc9d8b9a46e3ef588e7478e0d	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.2j	\N	\N	4096	fcd49fef	bb1e91b2e6d4b5a861bf37907ef6b198328d8d83	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_snd.5c	\N	\N	4096	f0c30f9a	5621f336e9be8acf986a34bbb8855ed5d45c28ef	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_snd.5d	\N	\N	4096	af5fc43c	8a49c55feba094b07380615cf0b6f0878c25a260	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.5h	\N	\N	2048	e5999d52	bc3f52cf6c6e19dfd2dacd1e8c9128f437e995fc	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turtles	turt_vid.5f	\N	\N	2048	c3ffd655	dee51d77be262a2944488e381541c10a2b6e5d83	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	turpin	\N	\N	\N	\N	\N	Turpin	1981	[Konami] (Sega license)	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	m1	\N	\N	4096	89177473	0717b1e7308ffe527edfc578ec4353809e7d9eea	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	m2	\N	\N	4096	4c6ca5c6	dd4ca7adaa523a8e775cdfaa99bb3cc25da32c08	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	m3	\N	\N	4096	62291652	82965d3e9608afde4ff06cba1d7a4b11cd904c11	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	m4	\N	\N	4096	9e71696c	3dcdf5dc601c875fc9d8b9a46e3ef588e7478e0d	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	m5	\N	\N	4096	7d2600f2	1a9bdf63b50419c6e0d9c401c3dcf29d5b459fa6	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	d1	\N	\N	4096	f0c30f9a	5621f336e9be8acf986a34bbb8855ed5d45c28ef	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	d2	\N	\N	4096	af5fc43c	8a49c55feba094b07380615cf0b6f0878c25a260	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	c1	\N	\N	2048	e5999d52	bc3f52cf6c6e19dfd2dacd1e8c9128f437e995fc	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	turpin	c2	\N	\N	2048	c3ffd655	dee51d77be262a2944488e381541c10a2b6e5d83	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	pacnpal	\N	\N	\N	\N	\N	Pac & Pal	1983	Namco	\N	\N	\N	
game_rom	Replay+_v1.00	pacnpal	pap13b.cpu	\N	\N	8192	ed64a565	b16930981490d97486d4df96acbb3d1cddbd3a80	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	pacnpal	pap12b.cpu	\N	\N	8192	15308bcf	334603f8904f8968d05edc420b5f9e3b483ee86d	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	pacnpal	pap11b.cpu	\N	\N	8192	3cac401c	38a14228469fa4a20cbc5d862198dc901842682e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	pacnpal	pap14.cpu	\N	\N	4096	330e20de	5b23e5dcc38dc644a36efc8b03eba34cea540bea	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	pacnpal	pap16.cpu	\N	\N	4096	a36b96cb	e0a11b5a43cbf756ddb045c743973d0a55dbb979	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	pacnpal	pap15.vid	\N	\N	8192	fb6f56e3	fd10d2ee49b4e059e9ef6046bc86d97e3185164d	\N	\N	\N	\N	\N	\N	
