game	Calice_v0.6.6	1941	\N	\N	\N	\N	\N	1941 - Counter Attack (World)	1990	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q533.bin	\N	\N	131072	04d03930	37f2556eeb52f8edfcddd3f3642fa24565d5a7bd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q513.bin	\N	\N	131072	c741ac52	d8b4aeacfd62586b98a1381da357dcc5ab16c1c6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q505.bin	\N	\N	131072	143e068f	24cdc49c09a9f0c93e04b37cf7ebba09a929c9b0	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q514.bin	\N	\N	131072	a8755f82	0a2fbc8b96651f9ab72eb451723e56ca0a859868	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q506.bin	\N	\N	131072	c92a91fc	dfe9682349cf94be414b7e1895b632de41729194	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q523.bin	\N	\N	65536	e14dc524	0020a9002572002458fbfe45e8a959cb90de3f03	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q530.bin	\N	\N	131072	d10c1b68	2423241f3340d8ab1b6bf9514ca8c3bba1273873	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	cworld2j	q531.bin	\N	\N	131072	7d17e496	a274b94ec4f042dddc239ecb9ac2e1e2375f5eb2	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	knights	\N	\N	\N	\N	\N	Knights of the Round (World)	1991	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_23e.rom	\N	\N	524288	1b3997eb	724b68eff319fcdf0dd3bc1eb6662996c1f6ecd9	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_22.rom	\N	\N	524288	d0b671a9	9865472c5fc3f617345e23b5de5a9ba177945b5a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx2.rom	\N	\N	524288	f095be2d	0427d1574062f277a9d04440019d5638b05de561	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx6.rom	\N	\N	524288	0200bc3d	c900b1be2b4e49b951e5c1e3fd1e19d21b82986e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx1.rom	\N	\N	524288	9e36c1a4	772daae74e119371dfb76fde9775bda78a8ba125	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx5.rom	\N	\N	524288	1f4298d2	4b162a7f649b0bcd676f8ca0c5eee9a1250d6452	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx4.rom	\N	\N	524288	179dfd96	b1844e69da7ab13474da569978d5b47deb8eb2be	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx8.rom	\N	\N	524288	0bb2b4e7	983b800925d58e4aeb4e5105f93ed5faf66d009c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx3.rom	\N	\N	524288	c5832cae	a188cf401cd3a2909b377d3059f14d22ec3b0643	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_gfx7.rom	\N	\N	524288	37fa8751	b88b39d1f08621f15a5620095aef998346fa9891	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_09.rom	\N	\N	65536	5e44d9ee	47a7503321be8d52b5c44af838e3bb82ee15a415	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_18.rom	\N	\N	131072	da69d15f	9616207e693bae85705f786cef60b9f6951b5067	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	knights	kr_19.rom	\N	\N	131072	bfc654e9	01b3d92e4dedf55ea3933d387c7ddb9ba2549773	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	forgottn	\N	\N	\N	\N	\N	Forgotten Worlds (US)	1988	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lwu11a	\N	\N	131072	ddf78831	b9c815613efdfde933d4500b588798b7fb4c1854	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lwu15a	\N	\N	131072	f7ce2097	44c06fabdb6de7d8afc2164458c90b0be9cf945d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lwu10a	\N	\N	131072	8cb38c81	1d36cab7d17ff778ee7dfcd9606a3a87f6906f21	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lwu14a	\N	\N	131072	d70ef9fd	b393aa2a7bea440fdcf057ffc6ff233fc0d35d4b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-07	\N	\N	524288	fd252a26	5cfb097984912a5167a8c7ec4c2e119b642f9970	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-06	\N	\N	524288	5b9edffc	6fd8f4a3ab070733b52365ab1945bf86acb2bf62	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-05	\N	\N	524288	e4552fd7	11147afc475904848458425661473586dd6f60cc	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-02	\N	\N	524288	43e6c5c8	d3e6c971de0477ec4e178adc82508208dd8b397f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-01	\N	\N	524288	0318f298	178ffd6da7bf845e30abf1bfc38a469cd319a73f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-13	\N	\N	524288	8e058ef5	00f2c0050fd106276ea5398511c5861ebfbc0d10	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-12	\N	\N	524288	8e6a832b	d63a1331fda2365f090fa31950098f321a720ea8	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-09	\N	\N	524288	899cb4ad	95e61af338945e690f2a82746feba3871ea224eb	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-08	\N	\N	524288	25a8e43c	d57cee1fc508db2677e84882fb814e4d9ad20543	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lwu00	\N	\N	65536	59df2a63	dfe1fffc7a17179a80a2ae623e93b30a7d6df20d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-03u	\N	\N	131072	807d051f	720e4733787b9b11f4d1cdce0892b69475802844	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	forgottn	lw-04u	\N	\N	131072	e6cd098e	667f6e5736f76a1c4c450c4e2035574ea89d7910	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	lostwrld	\N	\N	forgottn	forgottn	\N	Lost Worlds (Japan)	1988	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-11c.14f	\N	\N	131072	67e42546	3e385661f71616180a26b74e443978077246fe66	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-15c.14g	\N	\N	131072	402e2a46	cbb7017e75a425706505717bf83c2615f53309f9	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-10c.13f	\N	\N	131072	c46479d7	84fd9ef33ae7d0af2110e8dc299de25c0f039cee	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-14c.13g	\N	\N	131072	97670f4a	f249977c814abdff85007216d7fa57db5684be0f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-07	lw-07	\N	524288	fd252a26	5cfb097984912a5167a8c7ec4c2e119b642f9970	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-06	lw-06	\N	524288	5b9edffc	6fd8f4a3ab070733b52365ab1945bf86acb2bf62	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-05	lw-05	\N	524288	e4552fd7	11147afc475904848458425661473586dd6f60cc	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-02	lw-02	\N	524288	43e6c5c8	d3e6c971de0477ec4e178adc82508208dd8b397f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-01	lw-01	\N	524288	0318f298	178ffd6da7bf845e30abf1bfc38a469cd319a73f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-13	lw-13	\N	524288	8e058ef5	00f2c0050fd106276ea5398511c5861ebfbc0d10	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-12	lw-12	\N	524288	8e6a832b	d63a1331fda2365f090fa31950098f321a720ea8	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-09	lw-09	\N	524288	899cb4ad	95e61af338945e690f2a82746feba3871ea224eb	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-08	lw-08	\N	524288	25a8e43c	d57cee1fc508db2677e84882fb814e4d9ad20543	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lwu00	lwu00	\N	65536	59df2a63	dfe1fffc7a17179a80a2ae623e93b30a7d6df20d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-03.14c	\N	\N	131072	ce2159e7	77d564f8b768c1cbd6e5b334f7ee86c4c3f9d62e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	lostwrld	lw-04.13c	\N	\N	131072	39305536	ad24d7b6df2dc5e84a35aecb9ba9b0aaa27ab6e5	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	qtono2	\N	\N	\N	\N	\N	Quiz Tonosama no Yabou 2 Zenkoku-ban (Japan)	1995	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-30.11e	\N	\N	131072	9226eb5e	91649974f9652caed90eb28ec6caf4fe61f5d279	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-37.11f	\N	\N	131072	d1d30da1	7ca1695ed804b5860d4c15964cdbb922db3918ee	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-31.12e	\N	\N	131072	015e6a8a	0835bec4867438a167bd01e3550090c88e7ae779	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-38.12f	\N	\N	131072	1f139bcc	ee907f1bfef1a887e2c768648fe811e0733eddf7	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-28.9e	\N	\N	131072	86d27f71	89d6d18e05deaaa1ac7deb70ca03d051d2fde472	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-35.9f	\N	\N	131072	7a1ab87d	f1729a8c0c82cf42f60644a7796dc8a39bf7c6fa	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-29.10e	\N	\N	131072	9c384e99	3d3961f625ccc4776531eff50fc1b4bee062370e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-36.10f	\N	\N	131072	4c4b2a0a	9a25fcfb9358ea42d9bc662df2cafea08febb411	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-01m.3a	\N	\N	524288	cb950cf9	8337a500141c1aec82b6636ad79ecafbdbebd691	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-10m.3c	\N	\N	524288	a34ece70	15864d6b280f624245add8a611f1699da570392b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-02m.4a	\N	\N	524288	f2016a34	3862960fa14742547f6a6deacf0b9f409d08fee8	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-11m.4c	\N	\N	524288	d0edd30b	a76d7f134f9e52f79a485402d17dcc7a1fe99f29	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-03m.5a	\N	\N	524288	18a5bf59	afbfcb28c40551747bb5276aac2b9c15a24328e1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-12m.5c	\N	\N	524288	e04ff2f4	774c19909a2ae2c691f5d3f15b6e19cc94baf799	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-04m.6a	\N	\N	524288	094e0fb1	7c9a9a7d03e226109002dd389c872e3d4be43287	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2-13m.6c	\N	\N	524288	426621c3	89156bc9d585f546cd619db419dd1f4d9871d930	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-09.12a	\N	\N	32768	6d8edcef	9ec2d64278b30cc4316238c3efee663a8bbb255e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-18.11c	\N	\N	131072	a40bf9a7	07cb1076262a281e31a621cbcc10be0cae883175	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	qtono2	tn2j-19.12c	\N	\N	131072	5b3b931e	cf28891f84814cbfaa3adaade8bb08b1e0546a3d	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	msword	\N	\N	\N	\N	\N	Magic Sword - Heroic Fantasy (World)	1990	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	mse_30.rom	\N	\N	131072	03fc8dbc	a9e4e8a06e2d170faeae75a8b17fd65e6e5fecd4	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	mse_35.rom	\N	\N	131072	d5bf66cd	37c5bc4deafd7037ec5cf09c88bb89f35ea3d95c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	mse_31.rom	\N	\N	131072	30332bcf	1c77c06028b77473276cb5dde5ecf414b43a7b78	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	mse_36.rom	\N	\N	131072	8f7d6ce9	7694c940023c12520663593f973ddb4168a6bfa5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_32.rom	\N	\N	524288	2475ddfc	cc34dfae8124aa781320be6870a1929495eee456	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_gfx1.rom	\N	\N	524288	0d2bbe00	dca13fc7ff63ad7fb175a71ada1ee22d21a8811d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_gfx5.rom	\N	\N	524288	c00fe7e2	1ce82ea36996908620d3ac8aabd3650118d6c255	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_gfx3.rom	\N	\N	524288	3a1a5bf4	88a7cc0bf29b3516a97f661691500ff28e91a362	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_gfx7.rom	\N	\N	524288	4ccacac5	f2e30edf6ad100da411584bb0b828420256a9d5c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_9.rom	\N	\N	65536	57b29519	a6b4fc2b9595d1a49f2b93581f107b68d484d156	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_18.rom	\N	\N	131072	fb64e90d	d1a596ce2f8ac14a80b34335b173369a14b45f55	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	msword	ms_19.rom	\N	\N	131072	74f892b9	bf48db5c438154e7b96fd31fde1be4aad5cf25eb	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	sfzch	\N	\N	\N	\N	\N	Street Fighter Zero (CPS Changer)	1995	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz01	\N	\N	524288	0dd53e62	5f3bcf5ca0fd564d115fe5075a4163d3ee3226df	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz02	\N	\N	524288	94c31e3f	2187b3d4977514f2ae486eb33ed76c86121d5745	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz03	\N	\N	524288	9584ac85	bbd62d66b0f6909630e801ce5d6331d43f44d741	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz04	\N	\N	524288	b983624c	841106bb9453e3dfb7869c4b0e9149cc610d515a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz05	\N	\N	524288	2b47b645	bc6426eff5df9417f32666586744626fa544f7b5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz06	\N	\N	524288	74fd9fb1	7945472591f3c06970e96611a0363ed8f3d52c36	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz07	\N	\N	524288	bb2c734d	97a06935f86f31755d2ffdc5b56bef53944bdecd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz08	\N	\N	524288	454f7868	eecccba7542d893bc41676246a20aa4914b79bbc	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz10	\N	\N	524288	2a7d675e	0144ba34a29fb08b41c780ce65bb06d25724e88f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz11	\N	\N	524288	e35546c8	7b08aa3413494d12c5c550263a5f00b64b98e6ab	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz12	\N	\N	524288	f122693a	71ce901d8d30207e506b6a8d6a4e0fcf3a1b0eac	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz13	\N	\N	524288	7cf942c8	a7109facb97a8a11ddf1b4e07de6ff3164d713a1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz14	\N	\N	524288	09038c81	3461d70902fbfb92ce40f804be6388276a01d153	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz15	\N	\N	524288	1aa17391	b4d0f760a430b7fc4443b6c94da2659315c5b926	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz16	\N	\N	524288	19a5abd6	73ba1de15c883fdc69fd7dccdb58d00ca512d4ea	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz17	\N	\N	524288	248b3b73	95810a17b1caf6372b33ed3e4ee8a7e51482c70d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfza20	\N	\N	524288	806e8f38	b6d6912aa8f2f590335d7ff9a8214648e7131ebb	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfza22	\N	\N	524288	8d9b2480	405305c1572908d00eab735f28676fbbadb4fac6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfzch21	\N	\N	524288	5435225d	6b1156fd82d0710e244ede39faaae0847c598376	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfzch23	\N	\N	524288	1140743f	10bcedb5cca266f2aa3ed99ede6f9a64fc877539	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz.01	\N	\N	131072	ffffec7d	75b4aef001b72a0f571b51b2b97803facc1832dd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz.02	\N	\N	131072	45f46a08	e32dbd27b52ab708278045b5a829376e55a4ca81	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz.11	\N	\N	2097152	c4b093cd	256526bb693a0b72443f047e060304c9b739acd1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	sfzch	sfz.12	\N	\N	2097152	8bdbc4b4	0e21c9a75a17a7e7dfd8bb51098c2b9dc4c933ec	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	megaman	\N	\N	\N	\N	\N	Mega Man - The Power Battle (Asia)	1995	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcma_23b.rom	\N	\N	524288	61e4a397	a90b1cbef4206a4554398bc458a4b3e2c46d4c4f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcma_22b.rom	\N	\N	524288	708268c4	554e011cad285b95dd1b6aa19be61b2413662a3a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcma_21a.rom	\N	\N	524288	4376ea95	7370ceffca513aa9f68a74f6869d561476589200	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_01.rom	\N	\N	524288	6ecdf13f	2a8fe06bf5011e3f990f90d9224f91d8631ec0cc	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_02.rom	\N	\N	524288	944d4f0f	665dc9a537e9c9b565f6136f939ff5c2861f875f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_03.rom	\N	\N	524288	36f3073c	457d68e63599d06a136e152a9ad60adac1c91edd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_04.rom	\N	\N	524288	54e622ff	36f6297e3d410f041be5e582919478b0d52520ca	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_05.rom	\N	\N	524288	5dd131fd	1a7fc8cf38901245d40901996e946e7ad9c0e0c5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_06.rom	\N	\N	524288	f0faf813	adff01c2ecc4c8ce6f8a50cbd07d8f8bb9f48168	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_07.rom	\N	\N	524288	826de013	47f36b1d92a487c43c8dadc8293b8e6f40649286	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_08.rom	\N	\N	524288	fbff64cf	f0cb531ef195dc1dcd224a208906a62fb5d199a1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_10.rom	\N	\N	524288	4dc8ada9	776c2b3ef24c2b8f390c05a9c6728b14ceec696e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_11.rom	\N	\N	524288	f2b9ee06	db315b00d1caed1a8c0f6e0ae726e8fa05b011fa	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_12.rom	\N	\N	524288	fed5f203	23db14490519b5e2d0bb92ffe6e14540d1999e4b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_13.rom	\N	\N	524288	5069d4a9	b832b98be94371af52bd4bb911e18ec57430a7db	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_14.rom	\N	\N	524288	303be3bd	1e5c3fd71966ea9f457840c40582795b501c323e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_15.rom	\N	\N	524288	4f2d372f	db6a94d1f92c1b96e404b38ebcb1eedbec3ae6cc	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_16.rom	\N	\N	524288	93d97fde	e4be5216f98ad08a9118d629d398be2bd54e2e2a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_17.rom	\N	\N	524288	92371042	c55833cbaddcc986edd23c009a3e3c7ff09c2708	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_09.rom	\N	\N	131072	9632d6ef	2bcb6f17005ffbc9ef8fa4478a814f24b2e6e0b6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_18.rom	\N	\N	131072	80f1f8aa	4a5b7b2a6941ad68da7472c63362c7bcd353fa54	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	megaman	rcm_19.rom	\N	\N	131072	f257dbe1	967def6b6f93039dbc46373caabeb3301577be75	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	rockmanj	\N	\N	megaman	megaman	\N	Rockman - The Power Battle (Japan)	1995	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm23a.bin	\N	\N	524288	efd96cb2	cbe81554f60d0c897f3f2ebc5bc966bb03cc23fe	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm22a.bin	\N	\N	524288	8729a689	14ddb34d8201c544ea9d3d8c2cc52d380bc72930	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm21a.bin	\N	\N	524288	517ccde2	492256c192f0c4814efa1ee1dd390453dd2e5865	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_01.rom	rcm_01.rom	\N	524288	6ecdf13f	2a8fe06bf5011e3f990f90d9224f91d8631ec0cc	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_02.rom	rcm_02.rom	\N	524288	944d4f0f	665dc9a537e9c9b565f6136f939ff5c2861f875f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_03.rom	rcm_03.rom	\N	524288	36f3073c	457d68e63599d06a136e152a9ad60adac1c91edd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_04.rom	rcm_04.rom	\N	524288	54e622ff	36f6297e3d410f041be5e582919478b0d52520ca	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_05.rom	rcm_05.rom	\N	524288	5dd131fd	1a7fc8cf38901245d40901996e946e7ad9c0e0c5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_06.rom	rcm_06.rom	\N	524288	f0faf813	adff01c2ecc4c8ce6f8a50cbd07d8f8bb9f48168	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_07.rom	rcm_07.rom	\N	524288	826de013	47f36b1d92a487c43c8dadc8293b8e6f40649286	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_08.rom	rcm_08.rom	\N	524288	fbff64cf	f0cb531ef195dc1dcd224a208906a62fb5d199a1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_10.rom	rcm_10.rom	\N	524288	4dc8ada9	776c2b3ef24c2b8f390c05a9c6728b14ceec696e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_11.rom	rcm_11.rom	\N	524288	f2b9ee06	db315b00d1caed1a8c0f6e0ae726e8fa05b011fa	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_12.rom	rcm_12.rom	\N	524288	fed5f203	23db14490519b5e2d0bb92ffe6e14540d1999e4b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_13.rom	rcm_13.rom	\N	524288	5069d4a9	b832b98be94371af52bd4bb911e18ec57430a7db	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	rockmanj	rcm_14.rom	rcm_14.rom	\N	524288	303be3bd	1e5c3fd71966ea9f457840c40582795b501c323e	\N	\N	\N	\N	\N	\N	
