game	Viva_Nonno_v22.0.3	rr1	\N	\N	\N	\N	\N	Ridge Racer (Japan-A)	1993	Namco	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1cg2.bin	\N	\N	2097152	0b707cc5	38e1a554b278062edc369565353497ac4b016f78	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1cg3.bin	\N	\N	2097152	39b62921	873287d81338baf10dd85214d82f6c38bfdf199e	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1cg4.bin	\N	\N	2097152	a9791ea2	245b2ebbadd1fbca90dc241f88e9f6f341b2a01a	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1cg5.bin	\N	\N	2097152	b2c79ec1	6f669996863bdf1fe09b0c1a2a876625029d3d43	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1cg6.bin	\N	\N	2097152	8cddedc2	e3993f5505bc7e61bec7be5b48c873572e1220f7	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1cg7.bin	\N	\N	2097152	b39147ca	50ca6691fc809c95e6999dd52e39f2b8c2d22f3b	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1data.bin	\N	\N	524288	d358ec20	140c513349240417bb546dd2d151f3666b818e91	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-l0.bin	\N	\N	524288	de2ce519	2fe0dd000571f76d1a4df6a439d40119125170ef	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-l1.bin	\N	\N	524288	2215cb5a	d48ee692ab3dbcffdc49d22f6f232ca9390da766	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-l2.bin	\N	\N	524288	ddb15bf7	4c54ec98e0cba10841d43a4ce593cdacfd7f90f8	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-l3.bin	\N	\N	524288	fa9361ca	35a5c2712bca9c62400b724754de3a931ad21561	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-m0.bin	\N	\N	524288	3c024f3a	711f0442823797b2d410352796a5cca66af98dce	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-m1.bin	\N	\N	524288	b1a32a68	e24abb3a7e35d098abae5420bf8ef5c975718987	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-m2.bin	\N	\N	524288	a414fe15	eb27cdca045ab2ab27dec179043328847fb65e11	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-m3.bin	\N	\N	524288	2953bbb4	aca1acd87f7130d2522d0c6f8e60beeb7ab7495a	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-u0.bin	\N	\N	524288	b9eaf3cc	3b2a9041f1fa90706ecf7d4fbff918516f891a07	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-u1.bin	\N	\N	524288	a5c55258	826d4dde761aec7d848456f7bc4ba6268fe99605	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-u2.bin	\N	\N	524288	c18fcb74	a4009ae2b014dc89aed4741fd97f84350117c2f4	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1pot-u3.bin	\N	\N	524288	79735aaa	1cf14274669b916a7641f7a16785da1b72347485	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1wav0.bin	\N	\N	1048576	5aef8143	a75d31298e3ff9b290f238976a11e8b85cfb72d3	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1wav1.bin	\N	\N	1048576	9ed9e6b3	dd1da2b08d1b6aa0912daacc77744c9799aabb78	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1wav2.bin	\N	\N	1048576	5af9dc83	9aeb7f8217b806a6f3ed93056513af9fbcb6b372	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rv2	rv1wav3.bin	\N	\N	1048576	ffb9ad75	a9a61a597bd3bbe9732f92747d82264fe4d9af48	\N	\N	\N	\N	\N	\N	
