game	Laser_v0.20a	pong	\N	\N	\N	\N	\N	Pong	1972	Atari	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	4.bin	\N	\N	1024	1f2db7a8	354ad155743f724f2bebcab422f1ef96cb57c683	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	5.bin	\N	\N	1024	9b505fcd	7461b7087d31dbe09f7b3078584ccaa2c9122c95	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	6.bin	\N	\N	1024	de0ca0ae	a15d1218361839a2a2bf8da3f78d81621251fe1c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	7.bin	\N	\N	1024	25a296f6	37df98384c1513f0e33a350dfcaa99655f91c9ba	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	8.bin	\N	\N	1024	f4bc4a98	bff3806750a3695a136f398c7dbb69a0b7daa88a	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	spaceat2	\N	\N	\N	\N	\N	Space Attack II	1980	Zenitone-Microsec Ltd	\N	\N	\N	
game_rom	Laser_v0.20a	spaceat2	spaceatt.h	\N	\N	2048	a31d0756	2b76929654ed0b180091348546dac29fc6e5438e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceat2	spaceatt.g	\N	\N	2048	f41241f7	d93cead75922510075433849c4f7099279eafc18	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceat2	spaceatt.f	\N	\N	2048	4c060223	957e75a978aa600627399061cae0a6525e92ad11	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceat2	spaceatt.e	\N	\N	2048	7cf6f604	469557de15178c4b2d686e5724e1006f7c20d7a4	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	spaceatt	\N	\N	\N	\N	\N	Space Attack	1978	Video Games GMBH	\N	\N	\N	
game_rom	Laser_v0.20a	spaceatt	h	\N	\N	1024	d0c32d72	b3bd950b1ba940fbeb5d95e55113ed8f4c311434	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceatt	sv02.bin	\N	\N	1024	0e159534	94b2015a9d38ca738705b8d024a79fd2f9855b98	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceatt	f	\N	\N	1024	483e651e	ae795ee3bc53ac3936f6cf2c72cca7a890783513	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceatt	c	\N	\N	1024	1293b826	165cd5d08a19eadbe954145b12807f10df9e691a	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceatt	b	\N	\N	1024	6fc782aa	0275adbeec455e146f4443b0b836b1171436b79b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spaceatt	a	\N	\N	1024	211ac4a3	e08e90a4e77cfa30400626a484c9f37c87ea13f9	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	earthinv	\N	\N	\N	\N	\N	Super Earth Invasion	1980	bootleg	\N	\N	\N	
game_comment	Laser_v0.20a	earthinv	 In addition to these ROMs, earthinv also needs to load:	
game_comment	Laser_v0.20a	earthinv	\t04 from invadpt2 (which does not exist)	
game_comment	Laser_v0.20a	earthinv	\t05 from invaddlx (which does not exist)	
game_comment	Laser_v0.20a	earthinv	 i.e. earthinv WILL NOT LOAD into the emulator!	
game_rom	Laser_v0.20a	earthinv	earthinv.h	\N	\N	2048	58a750c8	90bfa4ea06f38e67fe4286d37d151632439249d2	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	earthinv	earthinv.g	\N	\N	2048	b91742f1	8d9ca92405fbaf1d5a7138d400986616378d061e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	earthinv	earthinv.f	\N	\N	2048	4acbbc60	b8c1efb4251a1e690ff6936ec956d6f66136a085	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	earthinv	earthinv.e	\N	\N	2048	df397b12	e7e8c080cb6baf342ec637532e05d38129ae73cf	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sfeverbw	\N	\N	\N	\N	\N	Space Fever (black and white)	1980	Nintendo	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.f1	\N	\N	1024	b8887351	ccd49937f1cbd7a157b3715474ccc3e8fdcea2b2	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.f2	\N	\N	1024	cda933a7	a0447c8c98e24674081c9bf4b1ef07dc186c6e2b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.g1	\N	\N	1024	de17578a	d9d5dbf38331f212d2a566c60756a788e169104d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.g2	\N	\N	1024	f1a90948	850f27b42ca12bcba4aa95a1ad3e66206fa63554	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.h1	\N	\N	1024	eefb4273	853a62976a406516f10ac68dc2859399b8b7aae8	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.h2	\N	\N	1024	e91703e8	f58606b0c7d945e94c3fccc7ebe17ca25675e6a0	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.i1	\N	\N	1024	41e18df9	2212c836313775e7c507a875672c0b3635825e02	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	spacefev.i2	\N	\N	1024	eff9f82d	5004e52dfa652ceefca9ed4210c0fa8f0591dc08	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sfeverbw	ss3.ic2	\N	\N	1024	95c2c1ee	42a3a382fc7d2782052372d71f6d0e8a153e74d0	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	spacefev	\N	\N	\N	\N	\N	Space Fever (color)	1980	Nintendo	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	f1.bin	\N	\N	1024	35f295bd	34d1df25fcdea598ca1191cecc2125e6f63dbce3	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	f2.bin	\N	\N	1024	0c633f4c	a551ddbf21670fb1f000404b92da87a97f7ba157	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	g1.bin	\N	\N	1024	f3d851cb	535c52a56e54a064aa3d1c48a129f714234a1007	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	g2.bin	\N	\N	1024	1faef63a	68e1bfc45587bfb1ee2eb477b60efd4f69dffd2c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	h1.bin	\N	\N	1024	b365389d	e681f2c5e37cc07912915ef74184ff9336309de3	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	h2.bin	\N	\N	1024	a163e800	e8817f3e17f099a0dc66213d2d3d3fdeb117b10e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	i1.bin	\N	\N	1024	00027be2	551a779a2e5a6455b7a348d246731c094e0ec709	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	ss3.ic2	\N	\N	1024	95c2c1ee	42a3a382fc7d2782052372d71f6d0e8a153e74d0	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spacefev	f5.bpr	\N	\N	32	c5914ec1	198875fcab36d09c8726bb21e2fdff9882f6721a	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	helifire	\N	\N	\N	\N	\N	HeliFire (revision B)	1980	Nintendo	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.f1b	\N	\N	1024	032f89ca	63b0310875ed78a6385e44eea781ddcc4a63557c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.f2b	\N	\N	1024	2774e70f	98d845e80db61799493dbebe8db801567277432c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.g1b	\N	\N	1024	b5ad6e8a	1eb4931e85bd6a559e85a2b978d383216d3988a7	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.g2b	\N	\N	1024	5e015bf4	60f5a9707c8655e54a8381afd764856fb25c29f1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.h1b	\N	\N	1024	23bb4e5a	b59bc0adff3635aca1def2b1997f7edc6ca7e8ee	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.h2b	\N	\N	1024	358227c6	d7bd678ef1737edc6aa609e43e3ae96a8d61dc15	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.i1b	\N	\N	1024	0c679f44	cbe31dbe5f2c5f11a637cb3bde4e059c310d0e76	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.i2b	\N	\N	1024	d8b7a398	3ddfeac39147d5df6096f525f7ef67abef32a28b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.j1b	\N	\N	1024	98ef24db	70ad8dd6e1e8f4bf4ce431737ca1856eecc03d53	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.j2b	\N	\N	1024	5e2b5877	f7c747e8a1d9fe2dda71ee6304636cf3cdf727a7	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifire	tub.snd	\N	\N	1024	9d77a31f	36db9b5087b6661de88042854874bc247c92d985	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	helifira	\N	\N	\N	\N	\N	HeliFire (revision A)	1980	Nintendo	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	f1a.bin	\N	\N	1024	92c9d6c1	860a7b3980e9e11d48769fad347c965e04ed3f89	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	f2a.bin	\N	\N	1024	a264dde8	48f972ad5af6c2ab61117f60d9244df6df6d313c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	tub.g1b	\N	\N	1024	b5ad6e8a	1eb4931e85bd6a559e85a2b978d383216d3988a7	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	g2a.bin	\N	\N	1024	a987ebcd	46726293c308c18b28941809419ba4c2ffc8084f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	h1a.bin	\N	\N	1024	25abcaf0	a14c795de1fc283405f71bb83f4ac5c98fd406cb	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	tub.h2b	\N	\N	1024	358227c6	d7bd678ef1737edc6aa609e43e3ae96a8d61dc15	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	tub.i1b	\N	\N	1024	0c679f44	cbe31dbe5f2c5f11a637cb3bde4e059c310d0e76	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	i2a.bin	\N	\N	1024	296610fd	f1ab379983e45f3cd718dd82962c609297b4dcb8	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	tub.j1b	\N	\N	1024	98ef24db	70ad8dd6e1e8f4bf4ce431737ca1856eecc03d53	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	tub.j2b	\N	\N	1024	5e2b5877	f7c747e8a1d9fe2dda71ee6304636cf3cdf727a7	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	helifira	tub.snd	\N	\N	1024	9d77a31f	36db9b5087b6661de88042854874bc247c92d985	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	bandido	\N	\N	\N	\N	\N	Bandido	1980	Exidy	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	baf1-3	\N	\N	1024	aec94829	aa6d241670ea061bac4a71dff82dfa832095eae6	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	f2	\N	\N	1024	da67721a	ee6a5fb98da1d1fcfad0ef27af300473a637f578	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	g1	\N	\N	1024	3fb7888e	2c2d6b27d577d5ccf759e451e53c2e3314af40f6	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	g2	\N	\N	1024	585fcfee	82f2abc14f893c092b80da45fc297fa5fb0890b5	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	bah1-1	\N	\N	1024	5cb63677	59a8e5f8b134bf44d3e5a1105a9346f0c5f9378e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	h2	\N	\N	1024	79e69a6a	1780ce77d7d9ddbf4aceabe0fcf079339837bbe1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	i1	\N	\N	1024	dda7d1e8	bd2a7388e81c71922b2e97d68be71359a75e8d37	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	i2	\N	\N	1024	5c5f3f86	25c64ccb7d0e136f67d6e1da7927ae6d89e0ceb9	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	j1	\N	\N	1024	0aa8b79a	aed139e8c8ba912823c57fe4cc7231b2d638f479	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	baj2-2	\N	\N	1024	a10b848a	c045f1f6a11cbf49a1bae06c701b659d587292a3	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bandido	basnd.u2	\N	\N	1024	75731745	538a63c9c60f1886fca4caf3eb1e0bada2d3f162	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sheriff	\N	\N	\N	\N	\N	Sheriff	1980	Nintendo	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	f1	\N	\N	1024	e79df6e8	908176de9bfc3d48e2da9af6ba7ebdee698ec2de	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	f2	\N	\N	1024	da67721a	ee6a5fb98da1d1fcfad0ef27af300473a637f578	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	g1	\N	\N	1024	3fb7888e	2c2d6b27d577d5ccf759e451e53c2e3314af40f6	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	g2	\N	\N	1024	585fcfee	82f2abc14f893c092b80da45fc297fa5fb0890b5	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	h1	\N	\N	1024	e59eab52	aa87710237dd48d1831f1b307d547b1b0707cd4e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	h2	\N	\N	1024	79e69a6a	1780ce77d7d9ddbf4aceabe0fcf079339837bbe1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	i1	\N	\N	1024	dda7d1e8	bd2a7388e81c71922b2e97d68be71359a75e8d37	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	i2	\N	\N	1024	5c5f3f86	25c64ccb7d0e136f67d6e1da7927ae6d89e0ceb9	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	j1	\N	\N	1024	0aa8b79a	aed139e8c8ba912823c57fe4cc7231b2d638f479	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	basnd.u2	\N	\N	1024	75731745	538a63c9c60f1886fca4caf3eb1e0bada2d3f162	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	sheriff.cl1	\N	\N	1024	820f8cdd	197eeb008c140558e7c1ab2b2bd0f6a27096877c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sheriff	sheriff.cl2	\N	\N	1024	820f8cdd	197eeb008c140558e7c1ab2b2bd0f6a27096877c	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	ballbomb	\N	\N	\N	\N	\N	Balloon Bomber	1980	Taito	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn01	\N	\N	2048	551585b5	7c17b046bdfca6ab107b7e68ba9bde6ca590c3d4	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn02	\N	\N	2048	7e1f734f	a15656818cd730d9bc98d00ff1e7fe3f860bd624	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn03	\N	\N	2048	d93e20bc	2bf72f813750cef8fad572a18fb8e9fd5bf38804	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn04	\N	\N	2048	d0689a22	1f6b258431b7eb878853ff979e4d97a05fb6b797	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn05	\N	\N	2048	5d5e94f1	b9f8ba38161ef4f0940c274e9d93fed4bb7db017	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn06	\N	\N	1024	7ec554c4	b638605ba2043fdca4c5e18755fa5fa81ed3db07	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	ballbomb	tn07	\N	\N	1024	deb0ac82	839581c4e58cb7b0c2c14cf4f239220017cc26eb	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	polaris	\N	\N	\N	\N	\N	Polaris (set 1)	1980	Taito	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	ps-01	\N	\N	2048	c04ce5a9	62cc9b3b682ebecfb7600393862c65e26ff5263f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	ps-09	\N	\N	2048	9a5c8cb2	7a8c5d74f8b431072d9476d3ef65a3fe1d639813	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	ps-08	\N	\N	2048	8680d7ea	7fd4b8a415666c36842fed80d2798b48f8b29d0d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	ps-04	\N	\N	2048	65694948	de92a7f3e3ef732b573254baa60df60f8e068a5d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	ps-05	\N	\N	2048	772e31f3	fa0b866b6df1a9217e286ca880b3bb3fb0644bf3	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	ps-10	\N	\N	2048	3df77bac	b3275c34b8d42df83df2c404c5b7d220aae651fa	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polaris	mb7052.2c	\N	\N	256	2953253b	2fb851bc9652ca4e51d473b484ede6dab05f1b51	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	polarisa	\N	\N	\N	\N	\N	Polaris (set 2)	1980	Taito	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps01-1	\N	\N	2048	7d41007c	168f002fe997aac6e4141292de826d389859bb04	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps-09	\N	\N	2048	9a5c8cb2	7a8c5d74f8b431072d9476d3ef65a3fe1d639813	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps03-1	\N	\N	2048	21f32415	6ac9ae9b55e342729fe260147021ed3911a24dc2	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps-04	\N	\N	2048	65694948	de92a7f3e3ef732b573254baa60df60f8e068a5d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps-05	\N	\N	2048	772e31f3	fa0b866b6df1a9217e286ca880b3bb3fb0644bf3	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps-10	\N	\N	2048	3df77bac	b3275c34b8d42df83df2c404c5b7d220aae651fa	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps26	\N	\N	2048	9d5c3d50	a6acf9ca6e807625156cb1759269014d5830a44f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	ps07	\N	\N	1024	164aa05d	41c699ce45c76a60c71294f25d8df6c6e6c1280a	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	polarisa	mb7052.2c	\N	\N	256	2953253b	2fb851bc9652ca4e51d473b484ede6dab05f1b51	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	schasrcv	\N	\N	\N	\N	\N	Space Chaser (CV version)	1979	Taito	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	1	\N	\N	1024	bec2b16b	c62210ecb64d7c38e5b63481d7fe04eb59bb1068	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	2	\N	\N	1024	9d25e608	4cc52a93a3ab96a0ec1d07593e17832fa59b30a1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	3	\N	\N	1024	113d0635	ab5e98d0b5fc37d7d69bb5c541681a0f66460440	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	4	\N	\N	1024	f3a43c8d	29a7a8b7d1de763a255cfec79157fd95e7bff551	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	5	\N	\N	1024	47c84f23	61b475fa92b8335f8edd3a128d8ac8561658e464	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	6	\N	\N	1024	02ff2199	e12c235b2064cb4bb426145172e523256e3c6358	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	7	\N	\N	1024	87d06b88	2d743161f85e47cb8ee2a600cbee790b1ad7ad99	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	8	\N	\N	1024	6dfaad08	2184c4e2f4b6bffdc4fe13e178134331fcd43253	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	9	\N	\N	1024	3d1a2ae3	672ad6590aebdfebc2748455fa638107f3934c41	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	10	\N	\N	1024	037edb99	f2fc5e61f962666e7f6bb81753ac24ea0b97e581	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	cv01	\N	\N	1024	037e16ac	d585030aaff428330c91ae94d7cd5c96ebdd67dd	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	schasrcv	cv02	\N	\N	1024	8263da38	2e7c769d129e6f8a1a31eba1e02777bb94ac32b2	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	invadpt2	\N	\N	\N	\N	\N	Space Invaders Part II (Taito)	1980	Taito	\N	\N	\N	
game_comment	Laser_v0.20a	invadpt2	 invadpt2 also loads ROMs from these locations but they do not exist!:	
game_comment	Laser_v0.20a	invadpt2	\tinvdelux.d and invdelux.e from invaddlx	
game_comment	Laser_v0.20a	invadpt2	\t(instead of pv06_1.bin and pv07_2.bin)	
game_comment	Laser_v0.20a	invadpt2	 So long as invaddlx is complete though, invadpt2 will still run	
game_rom	Laser_v0.20a	invadpt2	pv.01	\N	\N	2048	7288a511	ff617872784c28ed03591aefa9f0519e5651701f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invadpt2	pv.02	\N	\N	2048	097dd8d5	8d68654d54d075c0f0d7f63c87ff4551ce8b7fbf	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invadpt2	pv.03	\N	\N	2048	1766337e	ea959bf06c9930d83a07559e191a28641efb07ac	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invadpt2	pv.04	\N	\N	2048	8f0e62e0	a967b155f15f8432222fcc78b23121b00c405c5c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invadpt2	pv.05	\N	\N	2048	19b505e9	6a31a37586782ce421a7d2cffd8f958c00b7b415	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invadpt2	pv06_1.bin	\N	\N	1024	a732810b	a5fabffa73ca740909e23b9530936f9274dff356	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invadpt2	pv07_2.bin	\N	\N	1024	2c5b91cb	7fa4d4aef85473b1b4f18734230c164e72be44e7	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	desterth	\N	\N	\N	\N	\N	Destination Earth	1979	bootleg	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	36_h.bin	\N	\N	2048	f86923e5	d19935ba3d2c1c2553b3779f1a7ad8856c003dae	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	35_g.bin	\N	\N	2048	797f440d	a96917f2296ae467acc795eacc1533a2a2d2f401	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	34_f.bin	\N	\N	2048	993d0846	6be0c45add41fa7e43cac96c776cd0ebb45ade7b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	33_e.bin	\N	\N	2048	8d155fc5	1ef5e62d71abbf870c027fa1e477121ff124b8da	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	32_d.bin	\N	\N	2048	3f531b6f	2fc1f4912688986650e20a050a5d63ddecd4267e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	31_c.bin	\N	\N	2048	ab019c30	33931510a722168bcf7c30d22eac9345576b6631	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	42_b.bin	\N	\N	2048	ed9dbac6	4553f445ac32ebb1be490b02df4924f76557e8f9	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desterth	7643-1.cpu	\N	\N	1024	8b2e38de	d6a757be31c3a179d31bd3709e71f9e38ec632e9	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	grescue	\N	\N	\N	\N	\N	Galaxy Rescue	1979	Taito (Universal license?)	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	lrescue.1	\N	\N	2048	2bbc4778	0167f1ac1501ab0b4c4e555023fa5efed59d56ae	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	lrescue.2	\N	\N	2048	49e79706	bed675bb97d59ae0132c007ccead0d096ed2ddf1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	lrescue.3	\N	\N	2048	1ac969be	67ac47f45b9fa5c530bf6047bb7d5776b52847be	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	lrescue.4	\N	\N	2048	ca412991	41b59f338a6c246e0942a8bfa3c0bca2c24c7f81	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	lrescue.5	\N	\N	2048	a419a4d6	8eeeb31cbebffc98d2c6c5b964f9b320fcf303d2	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	lrescue.6	\N	\N	2048	bfb0f65d	ea0943d764a16094b6e2289f62ef117c9f838c98	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	grescue	7643-1.cpu	\N	\N	1024	8b2e38de	d6a757be31c3a179d31bd3709e71f9e38ec632e9	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	lrescue	\N	\N	\N	\N	\N	Lunar Rescue	1979	Taito	\N	\N	\N	
game_rom	Laser_v0.20a	lrescue	lrescue.1	\N	\N	2048	2bbc4778	0167f1ac1501ab0b4c4e555023fa5efed59d56ae	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	lrescue	lrescue.2	\N	\N	2048	49e79706	bed675bb97d59ae0132c007ccead0d096ed2ddf1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	lrescue	lrescue.3	\N	\N	2048	1ac969be	67ac47f45b9fa5c530bf6047bb7d5776b52847be	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	lrescue	lrescue.4	\N	\N	2048	782fee3c	668295e9d6d99084bb4e7c5491f00fe75f4f5a88	\N	\N	\N	\N	\N	\N	
