game	YAAME_v0.3	amidar	\N	\N	\N	\N	\N	Amidar	1981	Konami	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic48	\N	\N	2048	cb5d9915	49bcf55a5721cfcc02c3b811a4b601e35ea576db	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic49	\N	\N	2048	a105e4e7	b35142a91b6b7fdf7535202671793393c9f4685f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic50	\N	\N	2048	ac5e9ec1	0402e5241d99759d804291998efd43f37ce99917	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic51	\N	\N	2048	2eab35b4	849bf8273317cc869bdd67e50c68399ee8ece81d	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic52	\N	\N	2048	aff8e9c5	e4164f85ec12d4d9bcbffba27ab1f51b3599f6d0	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic23	\N	\N	2048	3c7e623f	e7ff5fc371664af44785c079e92eeb2d8530187b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic24	\N	\N	2048	59916d3b	71aec70a8e096ed1f0c2297b3ae7dca1b8ecc38d	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic39	\N	\N	2048	53413e8f	d772358505b973b10da840d204afb210c0c746ec	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic40	\N	\N	2048	0be2ba91	af9243ee23377b632b9b7d0b84d341d06bf22480	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	pleiads	\N	\N	\N	\N	\N	Pleiads (Tehkan)	1981	Tehkan	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic47.r1	\N	\N	2048	960212c8	52a3232e99920805ce9e195b8a6338ae7044dd18	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic48.r2	\N	\N	2048	b254217c	312a33cca09d5d2d18992f28eb051230a90db6e3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic47.bin	\N	\N	2048	87e700bb	0f352b5461da957c564920fd1da83bc81f41ffb9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic48.bin	\N	\N	2048	2d5198d0	6bfdc6c965199c5d4d687fe35dda057ec38cd8e0	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic51.r5	\N	\N	2048	49c629bc	fd7937d0c114c8d9c1efaa9918ae3df2af41f032	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic50.bin	\N	\N	2048	f1a8a00d	5c183e3a73fa882ffec3cb9219fb5619e625591a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic53.r7	\N	\N	2048	b5f07fbc	2ae687c84732942e69ad4dfb7a4ac1b97b77487a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic52.bin	\N	\N	2048	b1b5a8a6	7e4ef298c8ddefc7dc0cbf94a9c9f36a4b807ba0	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic23.bin	\N	\N	2048	4e30f9e7	da023a94725dc40107cd97e4decfd4dc0f9f00ee	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic24.bin	\N	\N	2048	5188fc29	421dedc674c6dde7abf01412df035a8eb8e6db9b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic39.bin	\N	\N	2048	85866607	cd240bd056f761b2f9e2142049434f02cae3e315	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pleiads	ic40.bin	\N	\N	2048	a841d511	8349008ab1d8ef08775b54170c37deb1d391fffc	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	invaders	\N	\N	\N	\N	\N	Space Invaders	1978	Midway	\N	\N	\N	
game_rom	YAAME_v0.3	invaders	invaders.h	\N	\N	2048	734f5ad8	ff6200af4c9110d8181249cbcef1a8a40fa40b7f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaders	invaders.g	\N	\N	2048	6bfaca4a	16f48649b531bdef8c2d1446c429b5f414524350	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaders	invaders.f	\N	\N	2048	0ccead96	537aef03468f63c5b9e11dd61e253f7ae17d9743	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaders	invaders.e	\N	\N	2048	14e538b0	1d6ca0c99f9df71e2990b610deb9d7da0125e2d8	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	invaddlx	\N	\N	\N	\N	\N	Space Invaders Deluxe	1980	Midway	\N	\N	\N	
game_rom	YAAME_v0.3	invaddlx	invdelux.h	\N	\N	2048	e690818f	0860fb03a64d34a9704a1459a5e96929eafd39c7	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaddlx	invdelux.g	\N	\N	2048	4268c12d	df02419f01cf0874afd1f1aa16276751acd0604a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaddlx	invdelux.f	\N	\N	2048	f4aa1880	995d77b67cb4f2f3781c2c8747cb058b7c1b3412	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaddlx	invdelux.e	\N	\N	2048	408849c1	f717e81017047497a2e9f33f0aafecfec5a2ed7d	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	invaddlx	invdelux.d	\N	\N	2048	e8d5afcd	91fde9a9e7c3dd53aac4770bd169721a79b41ed1	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	scobra	\N	\N	\N	\N	\N	Super Cobra	1981	Konami	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	2c	\N	\N	4096	a0744b3f	8949298a04f8ba8a82d5d84a7b012a0e7cff11df	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	2e	\N	\N	4096	8e7245cd	281504ff364c3ddbf901c92729b139afd93b9785	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	2f	\N	\N	4096	47a4e6fb	01775ad11dc23469649539ee8fb8a5800df031c6	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	2h	\N	\N	4096	7244f21c	f5fff565ed3f6c5f277a4db53c9f569813fcec1d	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	2j	\N	\N	4096	e1f8a801	2add8270352d6596052d3ff22c891ceccaa92071	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	2l	\N	\N	4096	d52affde	5681771ed51d504bdcc2999fcbf926a30b137828	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	5c	\N	\N	2048	d4346959	5eab4505beb69a5bdd88b23db60e1193371250cf	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	5d	\N	\N	2048	cc025d95	2b0784c4d05c466e0b7648f16e14f34393d792c3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	5e	\N	\N	2048	1628c53f	ec79a73e4a2d7373454b227dd7eff255f1cc60cc	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	5f	\N	\N	2048	64d113b4	7b439bb74d5ecc792e0ca8964bcca8c6b7a51262	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	5h	\N	\N	2048	a96316d3	9de0e94932e91dc34aea7c81880bde6a486d103b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	scobra	82s123.6e	\N	\N	32	9b87f90d	d11ac5e4a6057301ea2a9cbb404c2b978eb4c1dc	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	turtles	\N	\N	\N	\N	\N	Turtles	1981	[Konami] (Stern license)	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.2c	\N	\N	4096	ec5e61fb	3ca89800fda7a7e61f54d71d5302908be2706def	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.2e	\N	\N	4096	fd10821e	af74602bf2454eb8f3b9bb5c425e2476feeecd69	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.2f	\N	\N	4096	ddcfc5fa	2af9383e5a289c2d7fbe6cf5e5b1519c352afbab	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.2h	\N	\N	4096	9e71696c	3dcdf5dc601c875fc9d8b9a46e3ef588e7478e0d	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.2j	\N	\N	4096	fcd49fef	bb1e91b2e6d4b5a861bf37907ef6b198328d8d83	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_snd.5c	\N	\N	4096	f0c30f9a	5621f336e9be8acf986a34bbb8855ed5d45c28ef	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_snd.5d	\N	\N	4096	af5fc43c	8a49c55feba094b07380615cf0b6f0878c25a260	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.5h	\N	\N	2048	e5999d52	bc3f52cf6c6e19dfd2dacd1e8c9128f437e995fc	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	turtles	turt_vid.5f	\N	\N	2048	c3ffd655	dee51d77be262a2944488e381541c10a2b6e5d83	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	warofbug	\N	\N	\N	\N	\N	War of the Bugs or Monsterous Manouvers in a Mushroom Maze	1981	Armenia	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.u	\N	\N	2048	b8dfb7e3	c7c675b2638869a9cd7dbd554e6131d8c71b567a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.v	\N	\N	2048	fd8854e0	b39ab41b834f18341968dd780f0a3cd07d70c16c	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.w	\N	\N	2048	4495aa14	f1be281db1d831770efa9cc41ea87eb348e70108	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.y	\N	\N	2048	c14a541f	d32e89fd18d9e1db2e4a545186eac728c0b02255	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.z	\N	\N	2048	c167fe55	d85c4d1bd7aa5e14eb2f11dfa14979e5dbc084a8	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.1k	\N	\N	2048	8100fa85	06641c431cace36dec98b87555f62e72f3e53a31	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	warofbug	warofbug.1j	\N	\N	2048	d1220ae9	e892bc8b0b71d8b07503e474e9c30e6cab460682	\N	\N	\N	\N	\N	\N	
