game	AMOAD_I_-_XXII	invaders	\N	\N	\N	\N	\N	Space Invaders [AMOAD01]	1978	Midway	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u7	\N	\N	4096	1db341bd	d1c66bb9cf479e6960dbcd35c820097a81eaa555	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u15	\N	\N	4096	7c2842d5	a8a568da68babd0ccb9f2cee4182fc01c3138494	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u14	\N	\N	4096	6e3c1f2f	2ee821b0f6e0f3cfeae7f5ff25a6e9bd977efce0	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u21	\N	\N	4096	95f354ff	fdebc68a6d87f8ecdf52a57a34ae5ae844a13510	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u20	\N	\N	4096	0fdb04b8	ed814d58318c1055e475ff678609d189727bf9b4	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u32	\N	\N	4096	e5920728	0ac5ffdad7bdcb32e630b9582e1b1aaece5198c9	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u31	\N	\N	4096	13de47ed	332b484d47c9921ed93432755bb2d7a9d4628939	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u92	\N	\N	8192	d7eec6cd	e542bcc28f292be9a0a29d949de726e0b55e654a	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.105	\N	\N	8192	5bfd26e9	bdec535e486b43a8f5550334beff423eeace10b2	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	scramble	\N	\N	\N	\N	\N	Scramble (Stern) [AMOAD20]	1981	[Konami] (Stern license)	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2d	\N	\N	2048	b89207a1	5422df979e82bcc73df49f50515fe76c126c037b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2e	\N	\N	2048	e9b4b9eb	a8ee9ddfadf5e9accedfaf81da757a88a2e55a0a	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2f	\N	\N	2048	a1f14f4c	3eae2b3e4596505a8afb5c5cfb108e823c2c4319	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2h	\N	\N	2048	591bc0d9	170f9e92f0a3bee04407be27210b4fa825367688	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2j	\N	\N	2048	22f11b6b	e426ef6a7444a39a34d59799973b07d11b89f372	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2l	\N	\N	2048	705ffe49	174df3f281068c767344f751daace646360e26d6	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2m	\N	\N	2048	ea26c35c	a2f3380982d93a022f46756f974fd16c4cd617de	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	2p	\N	\N	2048	94d8f5e3	f3a9c4d1d91836476fcad87ea0d243dde7171e0a	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	5c	\N	\N	2048	bcd297f0	8ed78487d76fd0a917ab7b258937a46e2cd9800c	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	5d	\N	\N	2048	de7912da	8558b4eff5d7e63029b325edef9914feda5834c3	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	5e	\N	\N	2048	ba2fa933	1f976d8595706730e29f93027e7ab4620075c078	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	5f	\N	\N	2048	5f30311a	d64134089bebd995b3a1a089411e180c8c29f32d	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	scramble	5h	\N	\N	2048	516e029e	81b44eb1ce43cebde87f0a41ade2e7eb291af78d	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	crush	\N	\N	\N	\N	\N	Crush Roller (Kural Esco - bootleg?) [AMOAD21]	1981	Kural Esco Electric	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr1	\N	\N	2048	f276592e	68ebb7d9f70af868d99ec42c26bc55a54ba1f22c	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr5	\N	\N	2048	3d302abe	8ca5cd82d099b55e20f785489158231a1d99a430	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr2	\N	\N	2048	25f42e70	66de8203c364fd90e8a2b5749c2e40665b2f5830	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr6	\N	\N	2048	98279cbe	84b5e64bdbc25afab9b6f53e1719640e21a6feba	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr3	\N	\N	2048	8377b4cb	f828a177f22db9093a00c31e39e16214ce0dc6de	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr7	\N	\N	2048	d8e76c8c	7c3d7eb07b9256130141f71eba722f7823fd4c32	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr4	\N	\N	2048	90b28fa3	ff58d2dfb016397daabe2996bc3a7b63d28a4cca	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cr8	\N	\N	2048	10854e1b	b3b9066d9a43796185c00ae12f7bb2bbf42e3a07	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	crc	\N	\N	2048	e129d76a	c9256795c6d0929ade1f24b372dadc2a2b88d897	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	crb	\N	\N	2048	d1899f05	dce755511b6262b984a2bca329f454892e486a09	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	crd	\N	\N	2048	d35d1caf	65dd7861e05651485626465dc97215fed58db551	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	crush	cra	\N	\N	2048	c7617198	95b204af0345163f93811cc770ee0ca2851a39c1	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	cclimber	\N	\N	\N	\N	\N	Crazy Climber (US) [AMOAD22]	1980	Nichibutsu	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc11	\N	\N	4096	217ec4ff	334604c3a051d57440a9d0bfc34b809418ef1d2d	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc10	\N	\N	4096	b3c26cef	f52cb5482c12a9c5fb56e2e2aec7cab0ed23e5a5	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc09	\N	\N	4096	6db0879c	c0ba1976c1dcd6edadd78073173a26851ae8dd4f	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc08	\N	\N	4096	f48c5fe3	79072bbbf37387998ffd031afe8eb569a16fa9bd	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc07	\N	\N	4096	3e873baf	8870dc5948cdd3c8d2fe9e54a20cf6c311c94e53	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc06	\N	\N	2048	481b64cc	3f35c545fc784ed4f969aba2d7be6e13a5ae32b7	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc04	\N	\N	2048	332347cb	4115ca32af73f1791635b7d9e093bf77088a8222	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc05	\N	\N	2048	2c33b760	2edea8fe13376fbd51a5586d97aba3b30d78e94b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc03	\N	\N	2048	4e4b3658	0d39a8cb5cd6cf06008be60707f9b277a8a32a2d	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc02	\N	\N	2048	14f3ecc9	a1b5121abfbe8f07580eb3fa6384352d239a3d75	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc01	\N	\N	2048	21c0f9fb	44fad56d302a439257216ddac9fd62b3666589f1	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc13	\N	\N	4096	e0042f75	86cb31b110742a0f7ae33052c88f42d00deb5468	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cclimber	cc12	\N	\N	4096	5da13aaa	b2d41e69435d09c456648a10e33f5e1fbb0bc64c	\N	\N	\N	\N	\N	\N	
