game	Hoot_20011002	1941	\N	\N	\N	\N	\N	1941 [sound only]	1990	Capcom	\N	\N	\N	
game	Hoot_20011002	digdug2	\N	\N	\N	\N	\N	Dig Dug 2 [sound only]	1985	Namco	\N	\N	\N	
game_rom	Hoot_20011002	digdug2	ddsnd.bin	\N	\N	256	e0074ee2	f4f02977130110be52f4dd82fc3c0d02f45778b9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	digdug2	ddug2-4.bin	\N	\N	8192	737443b1	0e46204089cc6e5ffab0d2a62f9a1728f8c35948	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dirtfox	\N	\N	\N	\N	\N	Dirt Fox [sound only]	1989	Namco	\N	\N	\N	
game_rom	Hoot_20011002	dirtfox	df1_snd0.bin	\N	\N	131072	66b4f3ab	b165b2b222c0ce62a16f09e4a0741ca8459b624d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dirtfox	df1_voi1.bin	\N	\N	524288	15053904	b8ca7e5e53249dbee8284ce1e5c0e6438e64b2cf	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dondokod	\N	\N	\N	\N	\N	Don Doko Don [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	dondokod	b95-04.bin	\N	\N	524288	ac4c1716	06a9def7fa3bd739438f4a1d7b55f70eb904bf54	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dondokod	b95-08.bin	\N	\N	65536	b5aa49e1	83b0a3434e0d0b9aa581c1acdd0c70308362b923	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dragoonm	\N	\N	\N	\N	\N	Dragon Might [sound only]	1995	Konami	\N	\N	\N	
game_rom	Hoot_20011002	dragoonm	417a06.9c	\N	\N	131072	8addbbee	fdb38fab1fd65b7362578b108bf6128e926b5f13	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dragoonm	417a07.7c	\N	\N	131072	c1fd7584	1b204165ef07b6b53f47adc16eed69d11dab53b2	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dragoonm	417a17.9g	\N	\N	2097152	88d47dfd	b5d6dd7ee9ac0c427dc3e714a97945c954260913	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	drgnbstr	\N	\N	\N	\N	\N	Dragon Buster [sound only]	1984	Namco	\N	\N	\N	
game_rom	Hoot_20011002	drgnbstr	3c.bin	\N	\N	8192	8a0b1fc1	c2861d0da63e2d17f2d1ad46dccf753ecd902ce3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	drgnbstr	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dsaber	\N	\N	\N	\N	\N	Dragon Saber [sound only]	1990	Namco	\N	\N	\N	
game_rom	Hoot_20011002	dsaber	snd0.bin	\N	\N	131072	af5b1ff8	fc2a104788f081e4d2ddd22c586e541d6c5b5d69	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dsaber	snd1.bin	\N	\N	131072	c4ca6f3f	829a053451be07b296fb4d97818d59eb1e68c807	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dsaber	voi1.bin	\N	\N	524288	dadf6a57	caba21fc6b62d140f6d8231411ce82ae0ad2837a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dsaber	voi2.bin	\N	\N	524288	81078e01	adc70506b21b9a12eadd2f3fd1e920c2eb27c36e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dspirit	\N	\N	\N	\N	\N	Dragon Spirit [sound only]	1987	Namco	\N	\N	\N	
game_rom	Hoot_20011002	dspirit	dssnd-0.bin	\N	\N	65536	27100065	e8fbacaa43a5b858fce2ca3b579b90c1e016396b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dspirit	dssnd-1.bin	\N	\N	65536	b398645f	e83208e2aea7b57b4a26f123a43c112e30495aca	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dspirit	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dstlk	\N	\N	\N	\N	\N	Vampire - The Night Warriors [sound only]	1994	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	dstlk	vam.01	\N	\N	131072	64b685d5	6c180e7420db754eca5cad17a40f5a64f5c3bd15	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dstlk	vam.02	\N	\N	131072	cf7c97c7	109a4b56ecd59be9c3f5869de99d40619bdaef21	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dstlk	vam.11	\N	\N	2097152	4a39deb2	7e63e615869958db66a4e52a0272afee5a10e446	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dstlk	vam.12	\N	\N	2097152	1a3e5c03	c5a556e125d6c3d68da745b4d56cd7a851f2a23d	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dunkshot	\N	\N	\N	\N	\N	Dunk Shot [sound only]	1987	Sega	\N	\N	\N	
game_rom	Hoot_20011002	dunkshot	10473.bin	\N	\N	32768	7f1f5a27	7ff91b95c883b395ab4ff5e440d78e553a09e623	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dunkshot	10474.bin	\N	\N	32768	419a656e	aa734ae835761badeb069f99acc5fded2a19b3a3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dunkshot	10475.bin	\N	\N	32768	17d55e85	0c414bafecbfaa82679cc155f15f5255c186358d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dunkshot	10476.bin	\N	\N	32768	a6be0956	fc4d6e25e0b46679f94fddbb1850fb0b02f8d84b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dwj	\N	\N	\N	\N	\N	Tenchi Wo Kurau [sound only]	1989	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	dwj	23.bin	\N	\N	65536	b3b79d4f	2b960545741d3b9a53ffbf3ed83030392aa02698	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dwj	30.bin	\N	\N	131072	7e5f6cb4	c7b6b7d6dfe5f9f0e1521e7ce990229f480cf68d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dwj	31.bin	\N	\N	131072	4a30c737	426eb90f2edf73eb468c94b4a094da3d46acbab2	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ecofghtr	\N	\N	\N	\N	\N	Eco Fighters [sound only]	1993	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	ecofghtr	uec.01	\N	\N	131072	c235bd15	feb7cd7db9dc0b9887b33eed9796bb0205fb719d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ecofghtr	uec.11	\N	\N	2097152	81b25d39	448adfcc7d98873a48c710d857225cdd1580e5c9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ecofghtr	uec.12	\N	\N	2097152	27729e52	a55c8159adf766dda70cb047f5ac85ce6bc0a3f3	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	enduror	\N	\N	\N	\N	\N	Enduro Racer [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	enduror	7680.rom	\N	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	enduror	7681.rom	\N	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	enduror	7682.rom	\N	\N	32768	c4efbf48	2bcbc4757d98f291fcaec467abc36158b3f59be3	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	eswat	\N	\N	\N	\N	\N	E-swat - Cyber Police [sound only]	1989	Sega	\N	\N	\N	
game_rom	Hoot_20011002	eswat	ic6.bin	\N	\N	262144	254347c2	bf2d83a69a5be375c7e42e9f7d6e65c1095a354c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	eswat	ic8.bin	\N	\N	32768	7efecf23	2b87af7cfaab5942a3f7b38c987fcba01d3475ab	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	faceoff	\N	\N	\N	\N	\N	Face Off [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	faceoff	fo1-s0.bin	\N	\N	65536	9a00d97d	f1dcad7b6c9adcdce720d7b336d9c34f37975b31	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	faceoff	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	fantzojm	\N	\N	\N	\N	\N	Fantasy Zone (Japan) [sound only]	1986	Sega	\N	\N	\N	
game_rom	Hoot_20011002	fantzojm	7535.12	\N	\N	32768	0cb2126a	42b18a81bed58ef59eaad929007eef89ad273dbb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	fantzone	\N	\N	\N	\N	\N	Fantasy Zone [sound only]	1986	Sega	\N	\N	\N	
game_rom	Hoot_20011002	fantzone	7535.12	\N	\N	32768	bc1374fa	ed2c87ae024dc251e175239f1bccc728fc096548	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fantzone	epr7535.fz	\N	\N	32768	bc1374fa	ed2c87ae024dc251e175239f1bccc728fc096548	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fantzone	epr7535a.12	\N	\N	32768	bc1374fa	ed2c87ae024dc251e175239f1bccc728fc096548	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	fatfursp	\N	\N	\N	\N	\N	Fatal Fury Special [sound only]	1993	SNK	\N	\N	\N	
game_rom	Hoot_20011002	fatfursp	ffspe_m1.rom	\N	\N	131072	ccc5186e	cf9091c523c182aebfb928c91640b2d72fd70123	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fatfursp	ffspe_v1.rom	\N	\N	2097152	55d7ce84	05ac6a395d9bf9166925acca176a8d6129f533c8	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fatfursp	ffspe_v2.rom	\N	\N	2097152	ee080b10	29814fc21bbe30d37745c8918fab00c83a309be4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fatfursp	ffspe_v3.rom	\N	\N	1048576	f9eb3d4a	d1747f9460b965f6daf4f881ed4ecd04c5253434	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	fatfury1	\N	\N	\N	\N	\N	Fatal Fury 1 [sound only]	1991	SNK	\N	\N	\N	
game_rom	Hoot_20011002	fatfury1	ffry_m1.rom	\N	\N	131072	a8603979	512f2280a43892d4ca003ac63945ce86c5211b97	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fatfury1	ffry_v1.rom	\N	\N	1048576	212fd20d	120c040db8c01a6f140eea03725448bfa9ca98c2	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fatfury1	ffry_v2.rom	\N	\N	1048576	fa2ae47f	80d0ba4cd30aab59b6f0db8fa341387bd7388afc	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ffight	\N	\N	\N	\N	\N	Final Fight [sound only]	1989	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	ffight	ff09-09.bin	\N	\N	65536	b8367eb5	ec3db29fdd6200e9a8f4f8073a7e34aef731354f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ffight	ff18-18.bin	\N	\N	131072	375c66e7	36189e23209ce4ae5d9cbabd1574540d0591e7b3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ffight	ff19-19.bin	\N	\N	131072	1ef137f9	974b5e72aa28b87ebfa7438efbdfeda769dedf5e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	fight_fever	\N	\N	\N	\N	\N	Fight Fever [sound only]	1994	Viccom	\N	\N	\N	
game_rom	Hoot_20011002	fight_fever	ff_m1.rom	\N	\N	131072	0b7c4e65	999a1e784de18db3f1332b30bc425836ea6970be	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fight_fever	ff_v1.rom	\N	\N	2097152	f417c215	0f53b8dd056f43b5d880628e8b74c2b27881ffac	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	fight_fever	ff_v2.rom	\N	\N	1048576	64470036	eb2b34b3c01eb5c1a0a40cff6f4c0f2eee7bf7f2	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	finehour	\N	\N	\N	\N	\N	Fine Hour [sound only]	1989	Namco	\N	\N	\N	
game_rom	Hoot_20011002	finehour	fh1_sd0.bin	\N	\N	131072	059a9cfd	6b9ba6c270c90b382bd4c656e0ddca076a04a919	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	finehour	fh1_vo1.bin	\N	\N	524288	07560fc7	76f3855f5a4567dc65d513e37072072c2a011e7e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	flicky	\N	\N	\N	\N	\N	Flicky [sound only]	1984	Sega	\N	\N	\N	
game_rom	Hoot_20011002	flicky	epr5869	\N	\N	8192	6d220d4e	fe02a7a94a1ad046fc775a7f67f460c8d0f6dca6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	flpoint	\N	\N	\N	\N	\N	FlashPoint [sound only]	1989	Sega	\N	\N	\N	
game_rom	Hoot_20011002	flpoint	12592.bin	\N	\N	32768	9a8c11bb	399f8e9bdd7aaa4d25817fa9cd4bbf413e5baebe	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	forgottn	\N	\N	\N	\N	\N	Forgotten Worlds [sound only]	1988	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	forgottn	lw-03u	\N	\N	131072	807d051f	720e4733787b9b11f4d1cdce0892b69475802844	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	forgottn	lw-04u	\N	\N	131072	e6cd098e	667f6e5736f76a1c4c450c4e2035574ea89d7910	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	forgottn	lwu00	\N	\N	65536	59df2a63	dfe1fffc7a17179a80a2ae623e93b30a7d6df20d	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gaiapols	\N	\N	\N	\N	\N	Gaiapolis [sound only]	1993	Konami	\N	\N	\N	
game_rom	Hoot_20011002	gaiapols	123e13.9c	\N	\N	524288	0bc4056c	5241362e854c949000208a32a7cf7d04fdd1e07b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gaiapols	123e14.2g	\N	\N	2097152	65dfd3ff	57e13c05f420747c1c2010cc5340dd70e2c28971	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gaiapols	123e15.2m	\N	\N	2097152	7017ff07	37ecd54f2c757c5385305ab726d9f66aa1afd456	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	galaga88	\N	\N	\N	\N	\N	Galaga '88 [sound only]	1987	Namco	\N	\N	\N	
game_rom	Hoot_20011002	galaga88	g88_snd0.rom	\N	\N	65536	164a3fdc	d7b026f6a617bb444e3bce80cec2cbb4772cb533	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	galaga88	g88_snd1.rom	\N	\N	65536	16a4b784	a0d6f6ad4a68c9e10f2662e940ffaee691cafcac	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	galaga88	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	galfight	\N	\N	\N	\N	\N	Galaxy Fight - Universal warriors [sound only]	1995	Sunsoft	\N	\N	\N	
game_rom	Hoot_20011002	galfight	galfi_m1.rom	\N	\N	131072	8e9e3b10	7c44d1dbd4f8d337c99e90361d1dab837df85e31	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	galfight	galfi_v1.rom	\N	\N	2097152	e3b735ac	e16dfac09aef8115a20bae0bef8c86d4e7d0dc4a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	galfight	galfi_v2.rom	\N	\N	2097152	6a8e78c2	f60b1f8a3a945f279a582745e82f37278ce5d83b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	galfight	galfi_v3.rom	\N	\N	1048576	70bca656	218b7079c90898e7faa382b386e77f81f415e7ac	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gaplus	\N	\N	\N	\N	\N	Gaplus [sound only]	1984	Namco	\N	\N	\N	
game_rom	Hoot_20011002	gaplus	gp2-1.64	\N	\N	8192	ed8aa206	4e0a31d84cb7aca497485dbe0240009d58275765	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gaplus	gp2-3f.bin	\N	\N	256	2d9fbdd8	e6a23cd5ce3d3e76de3b70c8ab5a3c45b1147af4	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	garoup	\N	\N	\N	\N	\N	Garou - Mark Of The Wolves [sound only]	1999	SNK	\N	\N	\N	
game_rom	Hoot_20011002	garoup	motw_m1.rom	\N	\N	262144	bbe464f7	f5f8f3e48f5d453f45107085d6f4023bcd24c053	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	garoup	motw_v1.rom	\N	\N	4194304	274f3923	4c7a8ad1cd0e3afc1f78de3c2929120ed434f104	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	garoup	motw_v2.rom	\N	\N	4194304	8f86dabe	b3d2d9f5c1d97a6e7aee2c674fb6627f41bbb240	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	garoup	motw_v3.rom	\N	\N	4194304	05fd06cd	6cd699719614bb87547632ea3d61d92d81fdf563	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	garoup	motw_v4.rom	\N	\N	4194304	14984063	170d5638327ec0eb3590b80dc11590897367250c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	garuka	\N	\N	\N	\N	\N	Garuka [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	garuka	dev-f03.rom	\N	\N	524288	19065031	12c47fbe28f85fa2f901fe52601188a5e9633f22	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	garuka	dev-k01.rom	\N	\N	32768	d44b3eb0	26109fc56668b65f1a5aa6d8ec2c08fd70ca7c51	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	genpeitd	\N	\N	\N	\N	\N	Genpei Toumaden [sound only]	1986	Namco	\N	\N	\N	
game_rom	Hoot_20011002	genpeitd	gt1-3.6b	\N	\N	32768	315cd988	87b1a90b2a53571f7d8f9a475125f3f31ed3cb5d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	genpeitd	rt1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gforce2	\N	\N	\N	\N	\N	Galaxy Force 2 [sound only]	1988	Sega	\N	\N	\N	
game_rom	Hoot_20011002	gforce2	gf11465.bin	\N	\N	524288	e1436dab	363f4c111de38cb1d82b245e4fcc65308f506e6a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gforce2	gf11516.bin	\N	\N	131072	19d0e17f	7171131226cf1fe260a2db310fad2ec264adca26	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gforce2	gf11693.bin	\N	\N	65536	0497785c	f077e71efdc96d6eb3f1a1f989650466554fb13a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gforce2	gf11814.bin	\N	\N	131072	0b05d376	8d0c0be2fd9dbc714c82c7cd1c439d5ff65e1317	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ghouls	\N	\N	\N	\N	\N	Ghouls'n Ghosts [sound only]	1988	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	ghouls	ghl26.bin	\N	\N	65536	3692f6e5	61b8438d60a39b4cf5062dff0a53228e8a4e4b5f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gngjap	\N	\N	\N	\N	\N	Daimakaimura [sound only]	1988	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	gngjap	14h.rom	\N	\N	32768	615f5b6f	7ef9ec5c2072e21c787a6bbf700033f50c759c1d	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gokuparo	\N	\N	\N	\N	\N	Goku Parodius [sound only]	1994	Konami	\N	\N	\N	
game_rom	Hoot_20011002	gokuparo	321a06	\N	\N	131072	da810554	f253e1aa137eecf283d8b083ef2b3b049e8366f4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gokuparo	321a07	\N	\N	131072	c47634c0	20e4105df5bbc33edd01894e78f74ed5f173576e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gokuparo	321a17	\N	\N	2097152	b3e8d5d8	6644a414e7f0e69ded9aa1bf892566002cebae26	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gokuparo	321a18	\N	\N	2097152	2c561ad0	6265054072ba1c2837dd96e0259b20bc50457160	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	goldnaxe	\N	\N	\N	\N	\N	Golden Axe [sound only]	1989	Sega	\N	\N	\N	
game_rom	Hoot_20011002	goldnaxe	epr12390	\N	\N	32768	399fc5f5	6f290b36dc71ff4759598e2a9c185a8945a3c9e7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	goldnaxe	mpr12384.a11	\N	\N	131072	6218d8e7	5a745c750efb4a61716f99befb7ed14cc84e9973	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gradius	\N	\N	\N	\N	\N	Gradius [sound only]	1985	Konami	\N	\N	\N	
game_rom	Hoot_20011002	gradius	400-a01.fse	\N	\N	256	5827b1e8	fa8cf5f868cfb08bce203baaebb6c4055ee2a000	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius	400-a02.fse	\N	\N	256	2f44f970	7ab46f9d5d587665782cefc623b8de0124a6d38a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius	400-e03.5l	\N	\N	8192	a5a8e57d	f4236770093392dec3f76835a5766e9b3ed64e2e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius	456-a05.12l	\N	\N	131072	5cafb263	7cd12c695ec6ef4d5785ce218911961fc3528e95	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius	456-a07.17l	\N	\N	131072	92df792c	aec916f70af92a2d6476d7a36ba9be265890f9aa	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gradius3	\N	\N	\N	\N	\N	Gradius 3 [sound only]	1989	Konami	\N	\N	\N	
game_rom	Hoot_20011002	gradius3	945-a10.b15	\N	\N	262144	1d083e10	b116f133a7647ef7a6c373aff00e9622d9954b61	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius3	945-l11a.c18	\N	\N	131072	6043f4eb	1c2e9ace1cfdde504b7b6158e3c3f54dc5ae33d4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius3	945-l11b.c20	\N	\N	131072	89ea3baf	8edcbaa7969185cfac48c02559826d1b8b081f3f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gradius3	945-m05.d9	\N	\N	65536	c8c45365	b9a7b736b52bca42c7b8c8ed64c8df73e0116158	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	growl	\N	\N	\N	\N	\N	Growl [sound only]	1990	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	growl	c74-04.28	\N	\N	1048576	2d97edf2	d3a995303facdad4f8e1fdda04eaaec4440ff371	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	growl	c74-12.62	\N	\N	65536	bb6ed668	e8c3a15ccbc788ac57d42bd2cabcdb2db6305489	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	growl	c75-05.29	\N	\N	524288	e29c0828	f541d724f118130bb7a8f9e790582c68779cc6b6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	gunfront	\N	\N	\N	\N	\N	Gun Frontier [sound only]	1990	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	gunfront	c71-01.rom	\N	\N	1048576	0e73105a	c5c9743f68a43273e16f5e5179557f2392505a1e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	gunfront	c71-12.rom	\N	\N	65536	0038c7f8	405def36e67949219b6f9394333278ec60ad5783	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	hcastle	\N	\N	\N	\N	\N	Haunted Castle [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	hcastle	768.e01	\N	\N	32768	b9fff184	c55f468c0da6afdaa2af65a111583c0c42868bd1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hcastle	d93.e17	\N	\N	524288	01f9889c	01252d2ce7b14cfbe39ac8d7a5bd7417f1c2fc22	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	hopmappy	\N	\N	\N	\N	\N	Hopping Mappy [sound only]	1986	Namco	\N	\N	\N	
game_rom	Hoot_20011002	hopmappy	hm3	\N	\N	8192	6496e1db	f990fb3b2f93295282e8dee4488a4c3fc5ef83d1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hopmappy	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	hotchase	\N	\N	\N	\N	\N	Hot Chase [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	hotchase	763e08	\N	\N	524288	054a9a63	45d7926c9e7af47c041ba9b733e334bccd730a6d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hotchase	763e09	\N	\N	524288	c39857db	64b135a9ccf9e1dd50789cdd5c6bc03da8decfd0	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hotchase	763e10	\N	\N	262144	ca409210	703d7619c4bd33d2ff5fad127d98c82906fede33	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hotchase	763e11	\N	\N	262144	9d99a5a7	96e37bbb259e0a91d124c26b6b1a9b70de2e19a4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hotchase	763f01	\N	\N	32768	4fddd061	ff0aa18605612f6102107a6be1f93ae4c5edc84f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	hpuncher	\N	\N	\N	\N	\N	Hard Puncher [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	hpuncher	870c01.5a	\N	\N	131072	6af96546	63b49b28c0f2ef8f52bc4c5955ad6a633dd553cf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hpuncher	870c02.7c	\N	\N	131072	54e12c6d	8171441aeb1a1dc4d65fae59c7c217f992f70cbc	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hpuncher	870g03.10a	\N	\N	32768	db9c10c8	b2ec4d6800a4ab00dfcc8d3cd4abf9b9d7c5544a	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	hvymetal	\N	\N	\N	\N	\N	Heavy Metal [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	hvymetal	epr6787.120	\N	\N	32768	b64ac7f0	2b16c2702d3230891b700714a66ece95f1a74b44	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	hwchamp	\N	\N	\N	\N	\N	Heavy Weight Champ [sound only]	1987	Sega	\N	\N	\N	
