game	QPlayer_v1.4.3	19xx	\N	\N	\N	\N	\N	19XX: The War Against Destiny [sound only]	1996	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ts2j	ts2-01	\N	\N	4194304	d7a505e0	f1b0cdea712101f695bd326eccd753eb79a07490	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	vhunt2	\N	\N	\N	\N	\N	Vampire Hunter 2: Darkstalkers Revenge [sound only]	1997	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vhunt2	vph2.01	\N	\N	131072	67b9f779	3994c65f888004b56ea9f478b1feaa81e306347e	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vhunt2	vph2.02	\N	\N	131072	aaf15fcb	6f61daa162c835165a8aabaf1d0ea8816fbfbd40	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vhunt2	vph2.11	\N	\N	4194304	38922efd	8cfb36bdce3a524d0a81fec12ca0cba82222fa30	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vhunt2	vph2.12	\N	\N	4194304	6e2430af	b475faf943bec4171ba0130f287e1948743ca273	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	vsav	\N	\N	\N	\N	\N	Vampire Savior: The Lord of Vampire [sound only]	1997	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav	vm3.01	\N	\N	131072	f778769b	788ce1ad8a322179f634df9e62a31ad776b96762	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav	vm3.02	\N	\N	131072	cc09faa1	2962ef0ceaf7e7279de3c421ea998763330eb43e	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav	vm3.11	\N	\N	4194304	e80e956e	74181fca4b764fb3c56ceef2cb4c6fd6c18ec4b6	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav	vm3.12	\N	\N	4194304	9cd71557	7059db25698a0b286314c5961c618f6d2e6f24a1	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	vsav2	\N	\N	\N	\N	\N	Vampire Savior 2: The Lord of Vampire [sound only]	1997	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav2	vs2.01	\N	\N	131072	35190139	07f8e53ea398461de5dcda9814dde7c09faf9f65	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav2	vs2.02	\N	\N	131072	c32dba09	1fe337ff334fab79847f9677ba0e168e93daa1c8	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav2	vs2.11	\N	\N	4194304	d67e47b7	15a3f6779eccb10551ed94edf7e6e406a79b3de7	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	vsav2	vs2.12	\N	\N	4194304	6d020a14	e98f862fac1e357c90949768bb2646263d9981a0	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	wof	\N	\N	\N	\N	\N	Warriors of Fate [sound only]	1992	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	wof	tk2_qa.rom	\N	\N	131072	c9183a0d	d8b1d41c572f08581f8ab9eb878de77d6ea8615d	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	wof	tk2_q1.rom	\N	\N	524288	611268cf	83ab059f2110fb25fdcff928d56b790fc1f5c975	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	wof	tk2_q2.rom	\N	\N	524288	20f55ca9	90134e9a9c4749bb65c728b66ea4dac1fd4d88a4	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	wof	tk2_q3.rom	\N	\N	524288	bfcf6f52	2a85ff3fc89b4cbabd20779ec12da2e116333c7c	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	wof	tk2_q4.rom	\N	\N	524288	36642e88	8ab25b19e2b67215a5cb1f3aa81b9d26009cfeb8	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	xmcota	\N	\N	\N	\N	\N	X-Men: Children of the Atom [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmcota	xmn.01	\N	\N	131072	40f479ea	f29e15f537675305264ae2138a0a537fb9e2008b	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmcota	xmn.02	\N	\N	131072	39d9b5ad	af502debfd36100d4fc971ed25fdf9d7121d6f18	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmcota	xmn.11	\N	\N	2097152	c848a6bc	ac8ac564d3c43225822f8bc330eba9f35b24b0a4	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmcota	xmn.12	\N	\N	2097152	729c188f	3279774ad8aebbcf0fc779cdfcbe21044dd192ad	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	xmvsf	\N	\N	\N	\N	\N	X-Men Vs. Street Fighter [sound only]	1996	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmvsf	xvs.01	\N	\N	131072	3999e93a	fefcff8a9a5c83df7655a16187cf9ba3e7efbb25	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmvsf	xvs.02	\N	\N	131072	101bdee9	75920e88bf46fcd33a7957777a1d799818ffb0d6	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmvsf	xvs.11	\N	\N	2097152	9cadcdbc	64d3bd53b04daec84c9af4aa3ff010867b3d306d	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	xmvsf	xvs.12	\N	\N	2097152	7b11e460	a581c84acaaf0ce056841c15a6f36889e88be68d	\N	\N	\N	\N	\N	\N	
