game	MMSnd_v0.36b10	4dwarrio	\N	\N	\N	\N	\N	4D Warriors [sound only]	1985	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hotchase	763f01	\N	\N	32768	4fddd061	ff0aa18605612f6102107a6be1f93ae4c5edc84f	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	hvymetal	\N	\N	\N	\N	\N	Heavy Metal [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hvymetal	epr6787.120	\N	\N	32768	b64ac7f0	2b16c2702d3230891b700714a66ece95f1a74b44	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	hwchamp	\N	\N	\N	\N	\N	Heavyweight Champ [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hwchamp	s-prog.bin	\N	\N	32768	96a12d9d	f4ba70c3b5d80a1b6a187c940b922d5182d5ab12	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	imsorry	\N	\N	\N	\N	\N	I'm Sorry [sound only]	1985	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	imsorry	epr6656.113	\N	\N	8192	25e3d685	a0267d6533af6ff5bf76b9858f2913821a915baf	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	liquidk	\N	\N	\N	\N	\N	Liquid Kids [sound only]	1990	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	liquidk	lk_snd.bin	\N	\N	524288	474d45a4	20cb818d753a185973098007e645f1aa75c5528d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	liquidk	lq08.bin	\N	\N	65536	413c310c	cecb1c0c9fe3c8b744f95ce29009650a289107ab	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	loffire	\N	\N	\N	\N	\N	Line of Fire [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	loffire	epr12798.rom	\N	\N	65536	0587738d	24c79b0c73616d5532a49a2c9121dfabe3a80c7d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	loffire	epr12799.rom	\N	\N	131072	bc60181c	3c89161348db7cafb5636ab4eaba91fbd3541f90	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	loffire	epr12800.rom	\N	\N	131072	1158c1a3	e1d664a203eed5a0130b39ced7bea8328f06f107	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	loffire	epr12801.rom	\N	\N	131072	2d6567c4	542be9d8e91cf2df18d95f4e259cfda0560697cb	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	metalb	\N	\N	\N	\N	\N	Metal Black [sound only]	1991	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	metalb	d12-02.rom	\N	\N	1048576	79263e74	f9ef222239855d593b5855dbf9ea0376ea349c4b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	metalb	d12-05.rom	\N	\N	524288	7fd036c5	f412c6302cfba73df110943d7d6679dc908479f7	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	metalb	d12-13.rom	\N	\N	131072	bcca2649	d932134416c951d849ae41598f75609d453ed520	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	moonwlkb	\N	\N	\N	\N	\N	Moon Walker [sound only]	1990	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	moonwlkb	moonwalk.a4	\N	\N	131072	56c2e82b	d5755a1bb6e889d274dc60e883d4d65f12fdc877	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	moonwlkb	moonwalk.b4	\N	\N	262144	19e2061f	2dcf1718a43dab4da53b4f67722664e70ddd2169	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	moonwlkb	moonwalk.b5	\N	\N	262144	58d4d9ce	725e73a656845b02702ef131b4c0aa2a73cdd02e	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	moonwlkb	moonwalk.b6	\N	\N	262144	623edc5d	c32d9f818d40f311877fbe6532d9e95b6045c3c4	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	mrviking	\N	\N	\N	\N	\N	Mister Viking [sound only]	1984	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	mrviking	vepr5763	\N	\N	8192	d712280d	8393dfb57d9af22b3280ecaef736b6f9d856dbee	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	myhero	\N	\N	\N	\N	\N	My Hero [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	myhero	epr69xx.120	\N	\N	8192	0039e1e9	ead2e8a8a518da5ac6ccd5cd6db4cf167ea47c76	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	nemesis	\N	\N	\N	\N	\N	Nemesis [sound only]	1985	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nemesis	09c_snd.bin	\N	\N	16384	26bf9636	009dcbf18ea6230fc75a72232bd4fc29ad28dbf0	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nemesis	400-a01.fse	\N	\N	256	5827b1e8	fa8cf5f868cfb08bce203baaebb6c4055ee2a000	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nemesis	400-a02.fse	\N	\N	256	2f44f970	7ab46f9d5d587665782cefc623b8de0124a6d38a	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	nightstr	\N	\N	\N	\N	\N	Night Striker [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nightstr	b91-12.bin	\N	\N	524288	da77c7af	49662a69b83739e2e0209cabff83995a951383f4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nightstr	b91-13.bin	\N	\N	524288	8c7bf0f5	6e18531991225c24a9722c9fbe1af6ae6e9b866b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nightstr	b91-14.bin	\N	\N	524288	6bc314d3	ae3e9c6b853bab4ec81a6bd951b39a4bc883f456	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nightstr	b91-41.bin	\N	\N	131072	2694bb42	ee770472655ac0ef55eeff04037457dbf6744e4f	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	ninjaw	\N	\N	\N	\N	\N	The Ninja Warriors [sound only]	1987	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ninjaw	b31-08	\N	\N	524288	a0a1f87d	6b0f8094f3a3ef1ced76984e333e22a17c51af29	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ninjaw	b31-09	\N	\N	524288	60a73382	0ddeb86fcd4d19a58e62bf8564f996d17e36e5c5	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ninjaw	b31-10	\N	\N	524288	c6434aef	3348ce87882e3f668aa85bbb517975ec1fc9b6fd	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ninjaw	b31-11	\N	\N	524288	8da531d4	525dfab0a0729e9fb6f0e4c8187bf4ce16321b20	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ninjaw	b31-37	\N	\N	131072	0ca5799d	6485dde076d15b69b9ee65880dda57ad4f8d129c	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	nprinces	\N	\N	\N	\N	\N	Ninja Princess [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	nprinces	6559.120	\N	\N	8192	5a1570ee	fd9215e007b6687d057ea7aee01f6d3dcbc8f894	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	outrun	\N	\N	\N	\N	\N	Out Run [sound only]	1986	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10187.rom	\N	\N	32768	a10abaa9	01c8a819587a66d2ee4d255656e36fa0904377b0	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10188.rom	\N	\N	32768	bad30ad9	f70dd3a6362c314adef313b064102f7a250401c8	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10189.rom	\N	\N	32768	01366b54	f467a6b807694d5832a985f5381c170d24aaee4e	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10190.rom	\N	\N	32768	7cab70e2	a3c581d2b438630d0d4c39481dcfd85681c9f889	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10191.rom	\N	\N	32768	20a284ab	7c9027416d4122791ba53782fe2230cf02b7d506	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10192.rom	\N	\N	32768	770f1270	686bdf44d45c1d6002622f6658f037735382f3e0	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	outrun	10193.rom	\N	\N	32768	bcd10dde	417ce1d7242884640c5b14f4db8ee57cde7d085d	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	passshtb	\N	\N	\N	\N	\N	Passing Shot [sound only]	1988	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	passshtb	passshot.a7	\N	\N	32768	789edc06	8c89c94e503513c287807d187de78a7fbd75a7cf	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	passshtb	passshot.a8	\N	\N	32768	08ab0018	0685f80a7d403208c9cfffea3f2035324f3924fe	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	passshtb	passshot.a9	\N	\N	32768	8673e01b	e79183ab30e683fdf61ced2e9dbe010567c324cb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	passshtb	passshot.a10	\N	\N	32768	10263746	1f981fb185c6a9795208ecdcfba36cf892a99ed5	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	passshtb	passshot.a11	\N	\N	32768	38b54a71	68ec4ef5b115844214ff2213be1ce6678904fbd2	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	pitfall	\N	\N	\N	\N	\N	Pitfall II [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pitfall	6462	\N	\N	8192	2a17492d	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	plusalph	\N	\N	\N	\N	\N	Plus Alpha [sound only]	1989	Jaleco	\N	\N	\N	
game_rom	MMSnd_v0.36b10	plusalph	pa-rom10.bin	\N	\N	131072	395df3b2	6f69b573e997ba4bb5aabf745843921f0866d209	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	plusalph	pa-rom5.bin	\N	\N	65536	ddc2739b	dee31660428baea44c73dec238ed7f39a6771fe6	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	plusalph	pa-rom6.bin	\N	\N	65536	f6f8a167	60d5c9db18d8f6704b68ccde5d026174679cec36	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	plusalph	pa-rom7.bin	\N	\N	131072	9f5d800e	c0a7bdedc8a1294b8d29f7f6007542ea006e70cb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	plusalph	pa-rom8.bin	\N	\N	131072	ae007750	b48784fd6bcf205296e3e5b59c258f76da5c2d1b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	plusalph	pa-rom9.bin	\N	\N	131072	065364bd	bacb268b1c76c286e89eb823d8c3477ec5f2516c	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	psyforce	\N	\N	\N	\N	\N	Psychic Force [sound only]	1995	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	psyforce	e22-01	\N	\N	2097152	808b8340	d8bde850dd9b5b71e94ea707d2d728754f907977	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	psyforce	e22-07	\N	\N	131072	739af589	dbb4d1c6d824a99ccf27168e2c21644e19811523	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	pulirula	\N	\N	\N	\N	\N	PuLiRuLa [sound only]	1991	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pulirula	c98-01.rom	\N	\N	1048576	197f66f5	cc5d104033f9ab7d614afd47eeb61a22ef5714ea	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pulirula	c98-05.rom	\N	\N	524288	9ddd9c39	4005a540c5cef6754284361da79a9e5e15612146	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pulirula	c98-14.rom	\N	\N	131072	a858e17c	4389f43035a94e776a25350a8989dcfdb3e4675a	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	pwrdrift	\N	\N	\N	\N	\N	Power Drift [sound only]	1988	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pwrdrift	11754	\N	\N	524288	cad59f39	7890e22c0b039ab75a38095473b572c887094f53	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pwrdrift	11755	\N	\N	131072	c2db1244	c98fe17c9f04a639a862cc2a86fab17d1f5d025c	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pwrdrift	11756	\N	\N	131072	12e43f8a	0f9a11ba6b7c1a352daa1146a01ce147945e91e4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	pwrdrift	11899	\N	\N	65536	ed9fa889	25d1a069254b34c31d8ee82d301ada895e8dc391	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	quartet2	\N	\N	\N	\N	\N	Quartet [sound only]	1986	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	quartet2	7751.bin	\N	\N	1024	6a9534fc	67ad94674db5c2aab75785668f610f6f4eccd158	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	quartet2	quartet2.b1	\N	\N	32768	9f291306	96a09542a863ccf2ded43e2df6f913722b3f97b1	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	quartet2	quartet2.c1	\N	\N	32768	06ec75fa	5f14bc887449122700c46ad22c0379a1682e0bdb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	quartet2	quartet2.c2	\N	\N	32768	7abd1206	54d52dc0b9c245cd2df647e714310a71b803cbcf	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	quartet2	quartet2.c3	\N	\N	32768	dbf853b8	e82f497e1144f23f3233b5c45ef182bfc7923715	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	quartet2	quartet2.c4	\N	\N	32768	5eba655a	6713ef12037cba3139d0f469c82bd90b44bae8ce	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	railchas	\N	\N	\N	\N	\N	Rail Chase [sound only]	1991	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	railchas	epr13993.bin	\N	\N	65536	7cc3b543	c5e6a2dca891d0b6528e6d66ccd18b24ed4a9464	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	railchas	mpr13994.bin	\N	\N	524288	76095538	aab830e3675116c475fe69e0e991118c045b131b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	railchas	mpr13995.bin	\N	\N	524288	f604c270	02023786fec2f2702c2f19f51aff5b7e4928ae91	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	railchas	mpr13996.bin	\N	\N	524288	345f5a41	d414c3485ba31863c2b36282756709e06a41d262	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	raimais	\N	\N	\N	\N	\N	Raimais [sound only]	1988	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	raimais	b36-03.bin	\N	\N	524288	96166516	a6748218188cbd1b037f6c0845416665c0d55a7b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	raimais	b36-06.bin	\N	\N	65536	29bbc4f8	39a68729c6180c5f6cdf604e692018e7d6bf5591	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	rastan2	\N	\N	\N	\N	\N	Rastan Saga 2 [sound only]	1988	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rastan2	b81-01.bin	\N	\N	524288	b33f796b	6cdb32f56283acdf20eb46a1e658e3bd7c97978c	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rastan2	b81-02.bin	\N	\N	524288	20ec3b86	fcdcc7f0a09feb824d8d73b1af0aae7ec30fd1ed	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rastan2	b81-11.bin	\N	\N	65536	3704bf09	a0a37b23e3df482c5f5aa43825345ea8affbba34	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	regulus	\N	\N	\N	\N	\N	Regulus [sound only]	1983	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	regulus	epr5652.3	\N	\N	8192	74edcb98	bc181c73a6009ca723e715650adb920b77bd311c	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	rhero	\N	\N	\N	\N	\N	Racing Hero [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rhero	bank0.rom	\N	\N	65536	7e87d0e4	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rhero	bank1.rom	\N	\N	65536	70b45b61	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rhero	bank2.rom	\N	\N	65536	7796d746	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rhero	bank3.rom	\N	\N	65536	4742bea6	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rhero	bank4.rom	\N	\N	65536	32939a5b	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rhero	rhero.com	\N	\N	46425	cfa22fa7	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	rmobile	\N	\N	\N	\N	\N	Rad Mobile [sound only]	1990	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rmobile	epr13523.bin	\N	\N	524288	d5563697	eb3fd3dbfea383ac1bb5d2e1552723994cb4693d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rmobile	epr13527.bin	\N	\N	131072	a2e3fbbe	2787bbef696ab3f2b7855ac991867837d3de54cd	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	rmobile	epr13699.bin	\N	\N	524288	33fd2913	60b664559b4989446b1c7d875432e53a36fe27df	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	s-hangon	\N	\N	\N	\N	\N	Super Hang-On [sound only]	1992	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	s-hangon	s-hangon.01	\N	\N	65536	8b10e601	75e9bcdd3f096be9bed672d61064b9240690deec	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	s-hangon	s-hangon.02	\N	\N	65536	da08ca2b	2c94c127efd66f6cf86b25e2653637818a99aed1	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	s-hangon	s-hangon.03	\N	\N	32768	83347dc0	079bb750edd6372750a207764e8c84bb6abf2f79	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	sdi	\N	\N	\N	\N	\N	SDI - Strategic Defense Initiative [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	sdi	a7.rom	\N	\N	32768	793f9f7f	9e4fde376db9e99a83eb2fc734c6721c122ba9af	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	shdancer	\N	\N	\N	\N	\N	Shadow Dancer [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	shdancer	shdancer.a4	\N	\N	131072	7a0d8de1	eca5e2104e5b3e772d083a718171234f06ea8a55	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	shdancer	shdancer.b4	\N	\N	262144	07051a52	d48658497f4a34665d3e051f893ff057c38925ae	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	shinobi	\N	\N	\N	\N	\N	Shinobi [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	shinobi	shinobi.a7	\N	\N	32768	2457a7cf	ddfac640e442537acb015de8bb088659f5a217ee	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	shinobi	shinobi.a8	\N	\N	32768	c8df8460	0aeb41a493df155edb5f600f53ec43b798927dff	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	shinobi	shinobi.a9	\N	\N	32768	e5a4cf30	d1982da7a550c11ab2253f5d64ac6ab847da0a04	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	slocomo	\N	\N	\N	\N	\N	Super Locomotive [sound only]	1982	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	slocomo	5222.ic6	\N	\N	8192	0aa57207	b29b533505cb5b47c90534f2f610baeb7265d030	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	soldam	\N	\N	\N	\N	\N	Soldam [sound only]	1992	Jaleco	\N	\N	\N	
game_rom	MMSnd_v0.36b10	soldam	soldam.5	\N	\N	65536	d1019a67	32d77914a67c009bf1bb397772f195594f7cc03f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	soldam	soldam.6	\N	\N	65536	3ed219b4	afffa5596027181ae94488d54d6266f8a7ead180	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	soldam	soldam.7	\N	\N	262144	fcd36019	f4edb55bd62b697c5a73c461008e764c2f16956b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	soldam	soldam.9	\N	\N	262144	8d5613bf	eee217dd2ab64d86b7f5eda55a3c331d862c079e	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	spidrman	\N	\N	\N	\N	\N	Spiderman [sound only]	1991	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	spidrman	mpr14282.bin	\N	\N	524288	876721f3	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	spidrman	mpr14283.bin	\N	\N	524288	c863a91c	afdc76bbb9b207cfcb47d437248a757d03212f4e	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	spidrman	mpr14284.bin	\N	\N	524288	760542d4	dcac73869c02fefd328bd6bdbcbdb3b68b0647da	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	spidrman	epr14285.bin	\N	\N	262144	25aefad6	10153f4e773a0f55378f869eb1d85156e85f893f	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	starjack	\N	\N	\N	\N	\N	Star Jacker [sound only]	1983	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	starjack	5332	\N	\N	8192	7a72ab3d	4a6ad09949a438562d7043532d628cefdbb5a2fe	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	stdragon	\N	\N	\N	\N	\N	Saint Dragon [sound only]	1989	Jaleco	\N	\N	\N	
game_rom	MMSnd_v0.36b10	stdragon	jsd-05.bin	\N	\N	65536	8c04feaa	57e86fd88dc72d123a41f0dee80a16be38ac2e81	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	stdragon	jsd-06.bin	\N	\N	65536	0bb62f3a	68d9f161ba2568f8e046b1a40127bbb973d7a884	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	stdragon	jsd-07.bin	\N	\N	131072	6a48e979	617281d9fe3c3927f94bf2f66d0a08923a92a6ab	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	stdragon	jsd-08.bin	\N	\N	131072	40704962	4efd8c4d406600aa486c8b84b6f9882cca5970a4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	stdragon	jsd-09.bin	\N	\N	131072	e366bc5a	c97bc1f25357366b4ff1343dfc9d0808a2630b28	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	stdragon	jsd-10.bin	\N	\N	131072	4a8f4fe6	4f13f0149aa29b7cbddcd782f043bb71b3d27ede	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	strider	\N	\N	\N	\N	\N	Strider [sound only]	1989	Capcom	\N	\N	\N	
game_rom	MMSnd_v0.36b10	strider	strider.09	\N	\N	65536	2ed403bc	4ce863ea40d789db5a7cfce91d2c7c720deb9be5	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	strider	strider.18	\N	\N	131072	4386bc80	fb2b261995aeacfa13e7ee40b1a973dfb178f015	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	strider	strider.19	\N	\N	131072	444536d7	a14f5de2f6b5b29ae5161dca1f8c08c566301a91	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	swat	\N	\N	\N	\N	\N	SWAT [sound only]	1984	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	swat	epr5819.3	\N	\N	8192	f6afd0fd	06062648b9ebc70b4b5c30b043f537adc0052047	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	syvalion	\N	\N	\N	\N	\N	Syvalion [sound only]	1988	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	syvalion	b51-17.bin	\N	\N	524288	d85096aa	dac39ed182e9eda06575f1667c4c1ff9a4a56599	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	syvalion	b51-18.bin	\N	\N	524288	8b23ac83	340b9e7f09c1809a332b41d3fb579f5f8cd6367f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	syvalion	b51-23.bin	\N	\N	65536	734662de	0058d6de68f26cd58b9eb8859e15f3ced6bd3489	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	teddybb	\N	\N	\N	\N	\N	TeddyBoy Blues [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	teddybb	6748.120	\N	\N	8192	c2a1b89d	55c5461640ccb26bed332c13adfbb99c27237bcb	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	tetrisbl	\N	\N	\N	\N	\N	Tetris [sound only]	1988	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tetrisbl	s-prog.rom	\N	\N	32768	bd9ba01b	fafa7dc36cc057a50ae4cdf7a35f3594292336f4	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	thndcept	\N	\N	\N	\N	\N	Thunder Cepter [sound only]	1986	Namco	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thndcept	tc1-21.bin	\N	\N	16384	3b942f5f	4384b5c090954e69de561dde0ef32104aa11399a	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thndcept	tc1-22.bin	\N	\N	32768	cfef5481	c04b302fee58f0e59a097b2be2b61e5d03df7c91	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	thundbus	\N	\N	\N	\N	\N	Thunder Blade [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thundbus	ic017.bin	\N	\N	65536	d37b54a4	c230fe7241a1f13ca13506d1492f348f506c40a7	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thundbus	ic011.bin	\N	\N	131072	d4e7ac1f	ec5d6e4949938adf56e5613801ae56ff2c3dede5	\N	\N	\N	\N	\N	\N	
